,name,position,score,frequency,pubid,title,year
12,matrix,13,0.68,5,pub.1016741060,,2009
13,factorization method,14,0.66,2,pub.1016741060,,2009
14,method,15,0.63,84,pub.1016741060,,2009
15,affine camera model,16,0.61,1,pub.1016741060,,2009
16,camera model,17,0.58,1,pub.1016741060,,2009
17,model,18,0.55,23,pub.1016741060,,2009
18,camera calibration tool,19,0.53,1,pub.1016741060,,2009
19,calibration tool,20,0.5,1,pub.1016741060,,2009
20,tool,21,0.47,11,pub.1016741060,,2009
21,shape recovery,22,0.45,1,pub.1016741060,,2009
22,silhouette images,23,0.42,1,pub.1016741060,,2009
23,images,24,0.39,28,pub.1016741060,,2009
24,shadow detector,25,0.37,1,pub.1016741060,,2009
25,detector,26,0.34,8,pub.1016741060,,2009
26,color information,27,0.32,1,pub.1016741060,,2009
27,information,28,0.29,6,pub.1016741060,,2009
28,cross correlation,29,0.26,1,pub.1016741060,,2009
29,robust extraction,30,0.24,1,pub.1016741060,,2009
30,extraction,31,0.21,2,pub.1016741060,,2009
31,elimination of shadows,32,0.18,1,pub.1016741060,,2009
32,shadow,33,0.16,1,pub.1016741060,,2009
33,experimental results,34,0.13,20,pub.1016741060,,2009
34,results,35,0.11,56,pub.1016741060,,2009
35,effectiveness,36,0.08,8,pub.1016741060,,2009
36,human motion modeling,37,0.05,1,pub.1016741060,,2009
37,motion modeling,38,0.03,1,pub.1016741060,,2009
0,viscoelastic stage,1,1.0,1,pub.1093931682,,2009
1,resonance modes,2,0.92,6,pub.1093931682,,2009
2,mode,3,0.85,13,pub.1093931682,,2009
3,low frequency,4,0.77,4,pub.1093931682,,2009
4,frequency,5,0.69,10,pub.1093931682,,2009
5,precise positioning,6,0.62,4,pub.1093931682,,2009
6,positioning,7,0.54,5,pub.1093931682,,2009
7,vibration suppression PTC,8,0.46,3,pub.1093931682,,2009
8,vertical drive,9,0.38,1,pub.1093931682,,2009
9,drive,10,0.31,6,pub.1093931682,,2009
10,advantages,11,0.23,17,pub.1093931682,,2009
11,simulations,12,0.15,26,pub.1093931682,,2009
12,experiments,13,0.08,31,pub.1093931682,,2009
0,image analysis,1,1.0,1,pub.1029281172,,2009
1,model,2,0.75,23,pub.1094360137,,2009
2,results,3,0.5,56,pub.1094360137,,2009
3,feedback system,4,0.25,2,pub.1094360137,,2009
0,exposure tool,1,1.0,7,pub.1004809158,,2009
1,exposure experiments,2,0.91,1,pub.1004809158,,2009
2,arc field,3,0.82,1,pub.1004809158,,2009
3,static exposure,4,0.73,1,pub.1004809158,,2009
4,exposure,5,0.64,8,pub.1004809158,,2009
5,lines,6,0.55,6,pub.1004809158,,2009
6,wavefront error,7,0.45,1,pub.1004809158,,2009
7,rms,8,0.36,3,pub.1004809158,,2009
8,imaging,9,0.27,7,pub.1004809158,,2009
9,optics design,10,0.18,1,pub.1004809158,,2009
10,progress,11,0.09,5,pub.1004809158,,2009
0,reduction,1,1.0,12,pub.1016232665,,2009
0,goal,1,1.0,1,pub.1004275727,,2009
1,pool-based active learning,2,0.97,1,pub.1004275727,,2009
2,active learning,3,0.95,2,pub.1004275727,,2009
3,learning,4,0.92,5,pub.1004275727,,2009
4,input points,5,0.89,2,pub.1004275727,,2009
5,point,6,0.87,8,pub.1004275727,,2009
6,output values,7,0.84,1,pub.1004275727,,2009
7,input samples,8,0.82,2,pub.1004275727,,2009
8,learning criterion,9,0.79,1,pub.1004275727,,2009
9,criteria,10,0.76,5,pub.1004275727,,2009
10,linear regression,11,0.74,2,pub.1004275727,,2009
11,regression,12,0.71,1,pub.1004275727,,2009
12,first criterion,13,0.68,1,pub.1004275727,,2009
13,closed-form solution,14,0.66,2,pub.1004275727,,2009
14,solution,15,0.63,13,pub.1004275727,,2009
15,generalization error analysis,16,0.61,1,pub.1004275727,,2009
16,error analysis,17,0.58,2,pub.1004275727,,2009
17,analysis,18,0.55,19,pub.1004275727,,2009
18,second criterion,19,0.53,1,pub.1004275727,,2009
19,best solution,20,0.5,1,pub.1004275727,,2009
20,closed-form solution,21,0.47,2,pub.1004275727,,2009
21,search strategy,22,0.45,1,pub.1004275727,,2009
22,strategies,23,0.42,7,pub.1004275727,,2009
23,problem,24,0.39,13,pub.1004275727,,2009
24,practical procedure,25,0.37,1,pub.1004275727,,2009
25,procedure,26,0.34,3,pub.1004275727,,2009
26,optimal solution,27,0.32,3,pub.1004275727,,2009
27,first method,28,0.29,1,pub.1004275727,,2009
28,method,29,0.26,84,pub.1004275727,,2009
29,simulations,30,0.24,26,pub.1004275727,,2009
30,benchmark datasets,31,0.21,3,pub.1004275727,,2009
31,datasets,32,0.18,5,pub.1004275727,,2009
32,active learning methods,33,0.16,2,pub.1004275727,,2009
33,learning method,34,0.13,3,pub.1004275727,,2009
34,learning scheme,35,0.11,1,pub.1004275727,,2009
35,scheme,36,0.08,4,pub.1004275727,,2009
36,usefulness,37,0.05,3,pub.1004275727,,2009
37,semiconductor exposure apparatus,38,0.03,1,pub.1004275727,,2009
0,update,1,1.0,6,pub.1039430496,,2009
0,patterns,1,1.0,7,pub.1025598400,,2009
0,variation monitoring,1,1.0,1,pub.1014618285,,2009
1,monitoring,2,0.91,1,pub.1014618285,,2009
2,wafer inspection tool,3,0.82,1,pub.1014618285,,2009
3,inspection tool,4,0.73,1,pub.1014618285,,2009
4,tool,5,0.64,11,pub.1014618285,,2009
5,method,6,0.55,84,pub.1014618285,,2009
6,CD-SEM,7,0.45,2,pub.1014618285,,2009
7,defect density,8,0.36,1,pub.1014618285,,2009
8,density,9,0.27,3,pub.1014618285,,2009
9,production wafers,10,0.18,1,pub.1014618285,,2009
10,wafers,11,0.09,18,pub.1014618285,,2009
0,control,1,1.0,39,pub.1044730043,,2009
1,lenses,2,0.5,7,pub.1044730043,,2009
0,control,1,1.0,39,pub.1037292628,,2009
1,reduction,2,0.5,12,pub.1037292628,,2009
0,patterns,1,1.0,7,pub.1027508141,,2009
0,control,1,1.0,39,pub.1032468236,,2009
0,dose,1,1.0,2,pub.1041546498,,2009
0,cost comparison,1,1.0,1,pub.1011626089,,2009
0,imaging method,1,1.0,3,pub.1034891975,,2009
0,study,1,1.0,22,pub.1046362979,,2009
1,scanner,2,0.5,26,pub.1046362979,,2009
0,feasibility study,1,1.0,5,pub.1026763420,,2009
1,study,2,0.5,22,pub.1026763420,,2009
0,effect,1,1.0,49,pub.1014197171,,2009
0,durability,1,1.0,2,pub.1026127199,,2009
1,multilayer mirrors,2,0.88,3,pub.1026127199,,2009
2,mirror,3,0.75,17,pub.1026127199,,2009
3,high volume,4,0.62,1,pub.1026127199,,2009
4,volume,5,0.5,2,pub.1026127199,,2009
5,extreme ultraviolet lithography (EUVL) tool,6,0.38,1,pub.1026127199,,2009
6,lithography tools,7,0.25,4,pub.1026127199,,2009
7,tool,8,0.12,11,pub.1026127199,,2009
0,stage,1,1.0,2,pub.1017493069,,2009
0,array,1,1.0,7,pub.1022905733,,2009
1,gold nanoparticles,2,0.98,1,pub.1022905733,,2009
2,nanoparticles,3,0.96,4,pub.1022905733,,2009
3,gold nanorods,4,0.94,1,pub.1022905733,,2009
4,nanorods,5,0.92,1,pub.1022905733,,2009
5,pores,6,0.9,3,pub.1022905733,,2009
6,porous alumina membranes,7,0.88,1,pub.1022905733,,2009
7,alumina membranes,8,0.86,1,pub.1022905733,,2009
8,membrane,9,0.84,4,pub.1022905733,,2009
9,positive dielectrophoresis,10,0.82,2,pub.1022905733,,2009
10,dielectrophoresis,11,0.8,2,pub.1022905733,,2009
11,pore size,12,0.78,2,pub.1022905733,,2009
12,size,13,0.76,14,pub.1022905733,,2009
13,thickness of 60μm,14,0.74,1,pub.1022905733,,2009
14,thickness,15,0.72,12,pub.1022905733,,2009
15,microarray electrodes,16,0.7,1,pub.1022905733,,2009
16,electrode,17,0.68,8,pub.1022905733,,2009
17,bare ITO electrode,18,0.66,1,pub.1022905733,,2009
18,ITO electrode,19,0.64,2,pub.1022905733,,2009
19,gold nanoparticle suspensions,20,0.62,1,pub.1022905733,,2009
20,nanoparticle suspensions,21,0.6,1,pub.1022905733,,2009
21,suspension,22,0.58,2,pub.1022905733,,2009
22,pure water,23,0.56,2,pub.1022905733,,2009
23,water,24,0.54,12,pub.1022905733,,2009
24,ITO substrate,25,0.52,2,pub.1022905733,,2009
25,substrate,26,0.5,27,pub.1022905733,,2009
26,applications,27,0.48,27,pub.1022905733,,2009
27,AC voltage,28,0.46,1,pub.1022905733,,2009
28,voltage,29,0.44,6,pub.1022905733,,2009
29,DEP,30,0.42,1,pub.1022905733,,2009
30,upper electrode,31,0.4,1,pub.1022905733,,2009
31,straight pores,32,0.38,1,pub.1022905733,,2009
32,arrays of nanoparticles,33,0.36,1,pub.1022905733,,2009
33,distance,34,0.34,9,pub.1022905733,,2009
34,adjacent gold nanoparticles,35,0.32,1,pub.1022905733,,2009
35,particles,36,0.3,4,pub.1022905733,,2009
36,rod-like structures,37,0.28,1,pub.1022905733,,2009
37,structure,38,0.26,33,pub.1022905733,,2009
38,diameter,39,0.24,4,pub.1022905733,,2009
39,present procedure,40,0.22,1,pub.1022905733,,2009
40,fabrication,41,0.2,23,pub.1022905733,,2009
41,nanocomposites,42,0.18,1,pub.1022905733,,2009
42,nanopores,43,0.16,1,pub.1022905733,,2009
43,optical devices,44,0.14,2,pub.1022905733,,2009
44,devices,45,0.12,20,pub.1022905733,,2009
45,sensors,46,0.1,20,pub.1022905733,,2009
46,rapid preparation,47,0.08,1,pub.1022905733,,2009
47,preparation,48,0.06,3,pub.1022905733,,2009
48,gold nanoparticle arrays,49,0.04,1,pub.1022905733,,2009
49,nanoparticle arrays,50,0.02,2,pub.1022905733,,2009
0,original approach,1,1.0,1,pub.1065162248,,2009
1,approach,2,0.97,18,pub.1065162248,,2009
2,measurement accuracy,3,0.94,1,pub.1065162248,,2009
3,accuracy,4,0.91,31,pub.1065162248,,2009
4,focus sensor,5,0.88,1,pub.1065162248,,2009
5,sensors,6,0.84,20,pub.1065162248,,2009
6,lithographic equipment,7,0.81,1,pub.1065162248,,2009
7,equipment,8,0.78,7,pub.1065162248,,2009
8,measurement error,9,0.75,7,pub.1065162248,,2009
9,error,10,0.72,15,pub.1065162248,,2009
10,imperfections,11,0.69,1,pub.1065162248,,2009
11,optical system,12,0.66,8,pub.1065162248,,2009
13,actual surface,14,0.59,1,pub.1065162248,,2009
14,surface,15,0.56,42,pub.1065162248,,2009
15,wafers,16,0.53,18,pub.1065162248,,2009
16,mathematical formulation,17,0.5,1,pub.1065162248,,2009
17,formulation,18,0.47,2,pub.1065162248,,2009
18,experimental results,19,0.44,20,pub.1065162248,,2009
19,results,20,0.41,56,pub.1065162248,,2009
20,optical setup,21,0.38,1,pub.1065162248,,2009
21,setup,22,0.34,1,pub.1065162248,,2009
22,wafer surface conditions,23,0.31,1,pub.1065162248,,2009
23,surface conditions,24,0.28,1,pub.1065162248,,2009
24,conditions,25,0.25,25,pub.1065162248,,2009
25,novel technique,26,0.22,2,pub.1065162248,,2009
26,technique,27,0.19,39,pub.1065162248,,2009
27,error analysis,28,0.16,2,pub.1065162248,,2009
28,compensation method,29,0.12,1,pub.1065162248,,2009
29,method,30,0.09,84,pub.1065162248,,2009
30,exposure apparatus,31,0.06,5,pub.1065162248,,2009
31,apparatus,32,0.03,11,pub.1065162248,,2009
0,exposure,1,1.0,8,pub.1014033361,,2009
1,alternative,2,0.5,3,pub.1014033361,,2009
0,variational Bayesian approximation,1,1.0,2,pub.1032997922,,2009
1,Bayesian approximation,2,0.97,2,pub.1032997922,,2009
2,approximation,3,0.94,5,pub.1032997922,,2009
3,probabilistic matrix factorization,4,0.91,1,pub.1032997922,,2009
4,matrix factorization,5,0.88,2,pub.1032997922,,2009
5,factorization,6,0.85,2,pub.1032997922,,2009
6,experiments,7,0.82,31,pub.1032997922,,2009
7,better performance,8,0.79,2,pub.1032997922,,2009
8,performance,9,0.76,27,pub.1032997922,,2009
9,experimental success,10,0.74,1,pub.1032997922,,2009
10,paper,11,0.71,30,pub.1032997922,,2009
11,properties,12,0.68,24,pub.1032997922,,2009
12,matrix factorization method,13,0.65,1,pub.1032997922,,2009
13,factorization method,14,0.62,2,pub.1032997922,,2009
14,overfitting,15,0.59,2,pub.1032997922,,2009
15,analysis,16,0.56,19,pub.1032997922,,2009
16,key facts,17,0.53,1,pub.1032997922,,2009
17,fact,18,0.5,2,pub.1032997922,,2009
18,matrix factorization model,19,0.47,1,pub.1032997922,,2009
19,factorization model,20,0.44,1,pub.1032997922,,2009
20,model,21,0.41,23,pub.1032997922,,2009
21,mapping,22,0.38,3,pub.1032997922,,2009
22,factorized matrices,23,0.35,1,pub.1032997922,,2009
23,matrix,24,0.32,5,pub.1032997922,,2009
24,original matrix,25,0.29,1,pub.1032997922,,2009
25,shrinkage operator,26,0.26,1,pub.1032997922,,2009
26,operators,27,0.24,4,pub.1032997922,,2009
27,Marcenko-Pastur law,28,0.21,1,pub.1032997922,,2009
28,law,29,0.18,2,pub.1032997922,,2009
29,distribution of eigenvalues,30,0.15,1,pub.1032997922,,2009
30,distribution,31,0.12,8,pub.1032997922,,2009
31,eigenvalues,32,0.09,2,pub.1032997922,,2009
32,Variational Bayesian Matrix Factorization,33,0.06,1,pub.1032997922,,2009
33,Bayesian matrix factorization,34,0.03,1,pub.1032997922,,2009
0,key aspects,1,1.0,1,pub.1006834118,,2009
1,aspects,2,0.97,1,pub.1006834118,,2009
2,semantic image segmentation,3,0.94,1,pub.1006834118,,2009
3,image segmentation,4,0.91,1,pub.1006834118,,2009
4,segmentation,5,0.88,1,pub.1006834118,,2009
5,global features,6,0.85,1,pub.1006834118,,2009
6,features,7,0.82,8,pub.1006834118,,2009
7,prediction,8,0.79,4,pub.1006834118,,2009
8,segment labels,9,0.76,1,pub.1006834118,,2009
9,labels,10,0.73,1,pub.1006834118,,2009
10,approach,11,0.7,18,pub.1006834118,,2009
11,multi-class segmentation,12,0.67,1,pub.1006834118,,2009
12,method,13,0.64,84,pub.1006834118,,2009
13,integration,14,0.61,2,pub.1006834118,,2009
14,Conditional Random Fields,15,0.58,1,pub.1006834118,,2009
15,random fields,16,0.55,1,pub.1006834118,,2009
16,field,17,0.52,12,pub.1006834118,,2009
17,local image features,18,0.48,1,pub.1006834118,,2009
18,image features,19,0.45,3,pub.1006834118,,2009
19,image classification method,20,0.42,1,pub.1006834118,,2009
20,classification method,21,0.39,2,pub.1006834118,,2009
21,multi scale,22,0.36,1,pub.1006834118,,2009
22,images,23,0.33,28,pub.1006834118,,2009
23,patches,24,0.3,1,pub.1006834118,,2009
24,patch labels,25,0.27,1,pub.1006834118,,2009
25,random variables,26,0.24,1,pub.1006834118,,2009
26,output,27,0.21,6,pub.1006834118,,2009
27,classifier,28,0.18,2,pub.1006834118,,2009
28,segmentation data,29,0.15,1,pub.1006834118,,2009
29,data,30,0.12,8,pub.1006834118,,2009
30,multi-class image segmentation,31,0.09,1,pub.1006834118,,2009
31,global classification,32,0.06,1,pub.1006834118,,2009
32,classification,33,0.03,3,pub.1006834118,,2009
0,problem,1,1.0,13,pub.1039322993,,2009
1,estimation,2,0.98,8,pub.1039322993,,2009
2,choice,3,0.95,1,pub.1039322993,,2009
3,right features,4,0.93,1,pub.1039322993,,2009
4,features,5,0.91,8,pub.1039322993,,2009
5,concise representation,6,0.88,1,pub.1039322993,,2009
6,representation,7,0.86,3,pub.1039322993,,2009
7,observed data,8,0.84,1,pub.1039322993,,2009
8,data,9,0.81,8,pub.1039322993,,2009
9,efficient feature selection method,10,0.79,1,pub.1039322993,,2009
10,feature selection method,11,0.77,1,pub.1039322993,,2009
11,selection method,12,0.74,1,pub.1039322993,,2009
12,method,13,0.72,84,pub.1039322993,,2009
13,optimal kernel,14,0.7,1,pub.1039322993,,2009
14,kernel,15,0.67,3,pub.1039322993,,2009
15,coefficient,16,0.65,8,pub.1039322993,,2009
16,model parameters,17,0.63,1,pub.1039322993,,2009
17,parameters,18,0.6,9,pub.1039322993,,2009
18,approach,19,0.58,18,pub.1039322993,,2009
19,one-class support vector machine,20,0.56,1,pub.1039322993,,2009
20,support vector machine,21,0.53,3,pub.1039322993,,2009
21,vector machine,22,0.51,3,pub.1039322993,,2009
22,machine,23,0.49,7,pub.1039322993,,2009
23,semi-infinite linear program,24,0.47,1,pub.1039322993,,2009
24,linear program,25,0.44,1,pub.1039322993,,2009
25,program,26,0.42,1,pub.1039322993,,2009
26,plane algorithm,27,0.4,1,pub.1039322993,,2009
27,algorithm,28,0.37,8,pub.1039322993,,2009
28,experimental evaluation,29,0.35,1,pub.1039322993,,2009
29,evaluation,30,0.33,11,pub.1039322993,,2009
30,new method,31,0.3,3,pub.1039322993,,2009
31,network intrusion detection,32,0.28,1,pub.1039322993,,2009
32,intrusion detection,33,0.26,1,pub.1039322993,,2009
33,detection,34,0.23,7,pub.1039322993,,2009
34,recognition task,35,0.21,2,pub.1039322993,,2009
35,task,36,0.19,4,pub.1039322993,,2009
36,competitive performance,37,0.16,2,pub.1039322993,,2009
37,performance,38,0.14,27,pub.1039322993,,2009
38,decisions,39,0.12,1,pub.1039322993,,2009
39,feature sets,40,0.09,1,pub.1039322993,,2009
40,set,41,0.07,4,pub.1039322993,,2009
41,feature selection,42,0.05,1,pub.1039322993,,2009
42,selection,43,0.02,1,pub.1039322993,,2009
0,filter optimization,1,1.0,1,pub.1011922144,,2009
1,optimization,2,0.97,10,pub.1011922144,,2009
2,color filters,3,0.95,1,pub.1011922144,,2009
3,filter,4,0.92,3,pub.1011922144,,2009
4,high color accuracy,5,0.89,1,pub.1011922144,,2009
5,color accuracy,6,0.86,1,pub.1011922144,,2009
6,accuracy,7,0.84,31,pub.1011922144,,2009
7,image noise,8,0.81,1,pub.1011922144,,2009
8,noise,9,0.78,4,pub.1011922144,,2009
9,photon shot noise,10,0.76,2,pub.1011922144,,2009
10,shot noise,11,0.73,2,pub.1011922144,,2009
11,computer simulation,12,0.7,1,pub.1011922144,,2009
12,simulations,13,0.68,26,pub.1011922144,,2009
13,RGB,14,0.65,1,pub.1011922144,,2009
14,filter sets,15,0.62,1,pub.1011922144,,2009
15,more photons,16,0.59,2,pub.1011922144,,2009
16,performance,17,0.57,27,pub.1011922144,,2009
17,RGB filters,18,0.54,1,pub.1011922144,,2009
18,terms,19,0.51,4,pub.1011922144,,2009
19,large noise amplification,20,0.49,1,pub.1011922144,,2009
20,noise amplification,21,0.46,1,pub.1011922144,,2009
21,peak wavelength,22,0.43,1,pub.1011922144,,2009
22,wavelength,23,0.41,19,pub.1011922144,,2009
23,channels,24,0.38,2,pub.1011922144,,2009
24,wavelengths 600,25,0.35,1,pub.1011922144,,2009
25,noise fluctuations,26,0.32,1,pub.1011922144,,2009
26,fluctuations,27,0.3,2,pub.1011922144,,2009
27,noise components,28,0.27,1,pub.1011922144,,2009
28,components,29,0.24,9,pub.1011922144,,2009
29,latter case,30,0.22,1,pub.1011922144,,2009
30,tradeoff,31,0.19,1,pub.1011922144,,2009
31,camera,32,0.16,10,pub.1011922144,,2009
32,sensors,33,0.14,20,pub.1011922144,,2009
33,accurate color reproduction,34,0.11,1,pub.1011922144,,2009
34,sensitivity optimization,35,0.08,2,pub.1011922144,,2009
35,color image sensor,36,0.05,2,pub.1011922144,,2009
36,image sensor,37,0.03,5,pub.1011922144,,2009
0,method,1,1.0,84,pub.1000742248,,2009
1,components,2,0.83,9,pub.1000742248,,2009
2,high accuracy,3,0.67,9,pub.1000742248,,2009
3,accuracy,4,0.5,31,pub.1000742248,,2009
4,use,5,0.33,3,pub.1000742248,,2009
5,technique,6,0.17,39,pub.1000742248,,2009
0,aerostatic guideway,1,1.0,2,pub.1021101623,,2009
1,guideway,2,0.95,2,pub.1021101623,,2009
2,precision machine elements,3,0.91,1,pub.1021101623,,2009
3,machine elements,4,0.86,1,pub.1021101623,,2009
4,elements,5,0.82,8,pub.1021101623,,2009
5,downsizing,6,0.77,1,pub.1021101623,,2009
6,use,7,0.73,3,pub.1021101623,,2009
7,high-density technologies,8,0.68,1,pub.1021101623,,2009
8,technology,9,0.64,19,pub.1021101623,,2009
9,IT devices,10,0.59,1,pub.1021101623,,2009
10,devices,11,0.55,20,pub.1021101623,,2009
11,demand,12,0.5,3,pub.1021101623,,2009
12,high accuracy,13,0.45,9,pub.1021101623,,2009
13,accuracy,14,0.41,31,pub.1021101623,,2009
14,slider,15,0.36,1,pub.1021101623,,2009
15,small pores,16,0.32,1,pub.1021101623,,2009
16,pores,17,0.27,3,pub.1021101623,,2009
17,transient state,18,0.23,1,pub.1021101623,,2009
18,new design,19,0.18,2,pub.1021101623,,2009
19,design,20,0.14,13,pub.1021101623,,2009
20,experimental analysis,21,0.09,3,pub.1021101623,,2009
21,analysis,22,0.05,19,pub.1021101623,,2009
0,order,1,1.0,31,pub.1001250694,,2009
1,better performance,2,0.98,2,pub.1001250694,,2009
2,performance,3,0.96,27,pub.1001250694,,2009
3,object classification problems,4,0.94,1,pub.1001250694,,2009
4,classification problem,5,0.92,1,pub.1001250694,,2009
5,problem,6,0.91,13,pub.1001250694,,2009
6,information,7,0.89,6,pub.1001250694,,2009
7,image features,8,0.87,3,pub.1001250694,,2009
8,features,9,0.85,8,pub.1001250694,,2009
9,large margin classifiers,10,0.83,1,pub.1001250694,,2009
10,margin classifiers,11,0.81,1,pub.1001250694,,2009
11,classifier,12,0.79,2,pub.1001250694,,2009
12,similarity measure,13,0.77,1,pub.1001250694,,2009
13,measures,14,0.75,1,pub.1001250694,,2009
14,kernel,15,0.74,3,pub.1001250694,,2009
15,feature combinations,16,0.72,1,pub.1001250694,,2009
16,combination,17,0.7,6,pub.1001250694,,2009
17,best kernel,18,0.68,1,pub.1001250694,,2009
18,set of candidates,19,0.66,1,pub.1001250694,,2009
19,set,20,0.64,4,pub.1001250694,,2009
20,example,21,0.62,5,pub.1001250694,,2009
21,positive mixtures,22,0.6,1,pub.1001250694,,2009
22,base kernels,23,0.58,1,pub.1001250694,,2009
23,couple of ways,24,0.57,1,pub.1001250694,,2009
24,way,25,0.55,3,pub.1001250694,,2009
25,multiple kernel,26,0.53,1,pub.1001250694,,2009
26,uniform weights,27,0.51,1,pub.1001250694,,2009
27,brute force search,28,0.49,1,pub.1001250694,,2009
28,search,29,0.47,1,pub.1001250694,,2009
29,validation set,30,0.45,1,pub.1001250694,,2009
30,Multiple Kernel Learning,31,0.43,2,pub.1001250694,,2009
31,kernel learning,32,0.42,2,pub.1001250694,,2009
32,learning,33,0.4,5,pub.1001250694,,2009
33,margin criterion,34,0.38,1,pub.1001250694,,2009
34,criteria,35,0.36,5,pub.1001250694,,2009
35,support vector machine,36,0.34,3,pub.1001250694,,2009
36,vector machine,37,0.32,3,pub.1001250694,,2009
37,machine,38,0.3,7,pub.1001250694,,2009
38,average kernel,39,0.28,1,pub.1001250694,,2009
39,alternative,40,0.26,3,pub.1001250694,,2009
40,two-step approach,41,0.25,1,pub.1001250694,,2009
41,approach,42,0.23,18,pub.1001250694,,2009
42,alignment scores,43,0.21,1,pub.1001250694,,2009
43,standard support vector machine,44,0.19,1,pub.1001250694,,2009
44,single kernel,45,0.17,1,pub.1001250694,,2009
45,experimental results,46,0.15,20,pub.1001250694,,2009
46,results,47,0.13,56,pub.1001250694,,2009
47,data,48,0.11,8,pub.1001250694,,2009
48,kernel combination,49,0.09,1,pub.1001250694,,2009
49,kernel-target alignment,50,0.08,1,pub.1001250694,,2009
50,alignment,51,0.06,6,pub.1001250694,,2009
51,object classification,52,0.04,1,pub.1001250694,,2009
52,classification,53,0.02,3,pub.1001250694,,2009
0,harsh environments,1,1.0,1,pub.1015519416,,2008
1,environment,2,0.98,8,pub.1015519416,,2008
2,ITER device,3,0.96,1,pub.1015519416,,2008
3,devices,4,0.94,20,pub.1015519416,,2008
4,design,5,0.91,13,pub.1015519416,,2008
5,Japan Atomic Energy Agency,6,0.89,1,pub.1015519416,,2008
6,Atomic Energy Agency,7,0.87,1,pub.1015519416,,2008
7,Energy Agency,8,0.85,1,pub.1015519416,,2008
8,optical alignment system,9,0.83,1,pub.1015519416,,2008
9,alignment system,10,0.81,3,pub.1015519416,,2008
11,mirror,12,0.77,17,pub.1015519416,,2008
12,vacuum window,13,0.74,1,pub.1015519416,,2008
13,window,14,0.72,3,pub.1015519416,,2008
14,actuators,15,0.7,6,pub.1015519416,,2008
15,bearing,16,0.68,2,pub.1015519416,,2008
16,required torque,17,0.66,1,pub.1015519416,,2008
17,torque,18,0.64,2,pub.1015519416,,2008
18,results,19,0.62,56,pub.1015519416,,2008
19,fulfill requirements,20,0.6,1,pub.1015519416,,2008
20,requirements,21,0.57,12,pub.1015519416,,2008
21,prototype,22,0.55,5,pub.1015519416,,2008
22,key optical components,23,0.53,1,pub.1015519416,,2008
23,optical components,24,0.51,1,pub.1015519416,,2008
24,components,25,0.49,9,pub.1015519416,,2008
25,reflector array,26,0.47,1,pub.1015519416,,2008
26,array,27,0.45,7,pub.1015519416,,2008
27,electro,28,0.43,1,pub.1015519416,,2008
28,method,29,0.4,84,pub.1015519416,,2008
29,reflectivity,30,0.38,7,pub.1015519416,,2008
30,sufficient signal,31,0.36,1,pub.1015519416,,2008
31,signals,32,0.34,10,pub.1015519416,,2008
32,situ calibration,33,0.32,1,pub.1015519416,,2008
33,calibration,34,0.3,4,pub.1015519416,,2008
34,telescope prototype,35,0.28,1,pub.1015519416,,2008
35,spherical mirror,36,0.26,1,pub.1015519416,,2008
36,achromatic lenses,37,0.23,1,pub.1015519416,,2008
37,lenses,38,0.21,7,pub.1015519416,,2008
38,silica,39,0.19,2,pub.1015519416,,2008
39,CaF2,40,0.17,3,pub.1015519416,,2008
40,design objectives,41,0.15,1,pub.1015519416,,2008
41,irradiation tests,42,0.13,2,pub.1015519416,,2008
42,capability,43,0.11,14,pub.1015519416,,2008
43,optical devices,44,0.09,2,pub.1015519416,,2008
44,engineering design,45,0.06,1,pub.1015519416,,2008
45,monitor,46,0.04,3,pub.1015519416,,2008
46,ITER,47,0.02,2,pub.1015519416,,2008
0,development,1,1.0,27,pub.1011694069,,2008
0,history,1,1.0,1,pub.1002725075,,2008
1,current status,2,0.67,5,pub.1002725075,,2008
2,status,3,0.33,9,pub.1002725075,,2008
0,paper,1,1.0,30,pub.1093520034,,2008
1,simultaneous optimization,2,0.95,2,pub.1093520034,,2008
2,optimization,3,0.89,10,pub.1093520034,,2008
3,control,4,0.84,39,pub.1093520034,,2008
4,high precision stage,5,0.79,2,pub.1093520034,,2008
5,precision stage,6,0.74,5,pub.1093520034,,2008
6,continuous-time plant,7,0.68,1,pub.1093520034,,2008
7,sensors,8,0.63,20,pub.1093520034,,2008
8,position,9,0.58,12,pub.1093520034,,2008
9,control system,10,0.53,8,pub.1093520034,,2008
11,conditions,12,0.42,25,pub.1093520034,,2008
12,effectiveness,13,0.37,8,pub.1093520034,,2008
13,method,14,0.32,84,pub.1093520034,,2008
14,simulations,15,0.26,26,pub.1093520034,,2008
15,experiments,16,0.21,31,pub.1093520034,,2008
16,axis stage,17,0.16,1,pub.1093520034,,2008
17,experimental verification,18,0.11,2,pub.1093520034,,2008
18,verification,19,0.05,2,pub.1093520034,,2008
0,control,1,1.0,39,pub.1094570831,,2008
1,hard disk drives,2,0.97,3,pub.1094570831,,2008
2,disk drives,3,0.93,4,pub.1094570831,,2008
3,drive,4,0.9,6,pub.1094570831,,2008
4,perfect tracking control (PTC) method,5,0.87,3,pub.1094570831,,2008
5,tracking control method,6,0.83,4,pub.1094570831,,2008
6,control method,7,0.8,6,pub.1094570831,,2008
7,method,8,0.77,84,pub.1094570831,,2008
8,high performance,9,0.73,3,pub.1094570831,,2008
9,performance,10,0.7,27,pub.1094570831,,2008
10,PTC scheme,11,0.67,3,pub.1094570831,,2008
