,for_name,id,year,title
1168,Pharmacology and Pharmaceutical Sciences,US-10071095-B2,2017,"1,2,4-triazolo [4,3-A] pyridine derivatives and their use for the treatment of neurological and psychiatric disorders"
1169,Pharmacology and Pharmaceutical Sciences,US-8691849-B2,2009,3-azabicyclo[3.1.0]hexyl derivatives as modulators of metabotropic glutamate receptors
1170,Biochemistry and Cell Biology,WO-2017178838-A1,2017,BINDING MODULATION
1171,Biochemistry and Cell Biology,US-9771430-B2,2014,Method of treating a metabolic disorder induced by obesity in a subject in need thereof by administering MK2/3 inhibitors
1172,Physical Chemistry (incl. Structural),US-9505615-B2,2013,Method for controlling microstructural arrangement of nominally-aligned arrays of carbon nanotubes
1173,Nanotechnology,US-9045343-B2,2012,Carbon nanotube foams with controllable mechanical properties
1174,Artificial Intelligence and Image Processing,DE-102012206550-A1,2012,"A process for the acquisition of a measuring data set of a breathing examination subject, by means of a magnet resonance art, magnetic resonance system, computer program, as well as an electronically readable data carrier"
1175,Pharmacology and Pharmaceutical Sciences,US-9737533-B2,2015,"1,2,4-triazolo [4,3-A] pyridine derivatives and their use for the treatment of prevention of neurological and psychiatric disorders"
1176,Pharmacology and Pharmaceutical Sciences,US-8841323-B2,2007,"1, 4-disubstituted 3-cyano-pyridone derivatives and their use as positive allosteric modulators of MGLUR2-receptors"
1177,Other Physical Sciences,US-9989658-B2,2017,"Method of, and apparatus for, processing positron emission tomography data"
1178,Immunology,US-10004709-B2,2018,Receptor subtype and function selective retinoid and rexinoid compounds in combination with immune modulators for cancer immunotherapy
1179,Oncology and Carcinogenesis,WO-2015012175-A1,2014,DIAGNOSTIC DRUG AND THERAPEUTIC DRUG FOR SMALL CELL LUNG CANCER
1180,Genetics,EP-3215633-A4,2015,"SYSTEM, METHOD AND APPARATUS FOR DETERMINING THE EFFECT OF GENETIC VARIANTS"
1181,Biomedical Engineering,US-9974886-B2,2013,"Methods of manufacturing hydrogel microparticles having living cells, and compositions for manufacturing a scaffold for tissue engineering"
1182,Biochemistry and Cell Biology,US-9974886-B2,2013,"Methods of manufacturing hydrogel microparticles having living cells, and compositions for manufacturing a scaffold for tissue engineering"
1183,Cardiorespiratory Medicine and Haematology,WO-2013026797-A1,2012,NOVEL PIPERIDINO-DIHYDROTHIENOPYRIMIDINE SULFOXIDES AND THEIR USE FOR TREATING COPD AND ASTHMA
1184,Information Systems,US-8281141-B2,2010,Method and apparatus for monitoring and analyzing degree of trust and information assurance attributes information in a data providence architecture workflow
1185,Cardiorespiratory Medicine and Haematology,WO-2011127288-A2,2011,"METHODS AND USES OF NUR77 AND NUR77 AGONISTS TO MODULATE MACROPHAGES AND MONOCYTES, AND TREAT INFLAMMATION, INFLAMMATORY DISEASE AND CARDIOVASCULAR DISEASE"
1186,Immunology,US-9907768-B2,2017,Receptor subtype and function selective retinoid and rexinoid compounds in combination with immune modulators for cancer immunotherapy
1187,Information Systems,US-20100251374-A1,2010,METHOD AND APPARATUS FOR MONITORING AND ANALYZING DEGREE OF TRUST AND INFORMATION ASSURANCE ATTRIBUTES INFORMATION IN A DATA PROVIDENCE ARCHITECTURE WORKFLOW
1188,Biochemistry and Cell Biology,US-9587221-B2,2014,Encapsulation and cardiac differentiation of hiPSCs in 3D PEG-fibrinogen hydrogels
1189,Immunology,WO-2015150491-A1,2015,AN ISOLATED DONOR MHC-DERIVED PEPTIDE AND USES THEREOF
1190,Pharmacology and Pharmaceutical Sciences,WO-2013077830-A1,2012,SYNERGISTILLY ACTIVE COMBINATIONS OF ROFLUMILAST AND CARMOTEROL
1191,Immunology,US-10004708-B2,2018,Receptor subtype and function selective retinoid and rexinoid compounds in combination with immune modulators for cancer immunotherapy
1192,Clinical Sciences,US-9066965-B1,2013,Purified limonin glucoside for prevention and treatment of chronic diseases
1193,Organic Chemistry,US-20150056160-A1,2014,CHEMICALLY INDUCED INTRACELLULAR HYPERTHERMIA
1194,Biochemistry and Cell Biology,EP-2726636-A2,2012,IDENTITY ELUCIDATION OF UNKNOWN METABOLITES
1195,Public Health and Health Services,WO-2015157407-A1,2015,SMALL MOLECULE BIOCHEMICAL PROFILING OF INDIVIDUAL SUBJECTS FOR DISEASE DIAGNOSIS AND HEALTH ASSESSMENT
1196,Biomedical Engineering,WO-2014025312-A1,2013,"METHODS OF MANUFACTURING HYDROGEL MICROPARTICLES HAVING LIVING CELLS, AND COMPOSITIONS FOR MANUFACTURING A SCAFFOLD FOR TISSUE ENGINEERING"
1197,Biochemistry and Cell Biology,WO-2014025312-A1,2013,"METHODS OF MANUFACTURING HYDROGEL MICROPARTICLES HAVING LIVING CELLS, AND COMPOSITIONS FOR MANUFACTURING A SCAFFOLD FOR TISSUE ENGINEERING"
1198,Paediatrics and Reproductive Medicine,US-9952201-B2,2014,Method for evaluating the harmful effects of UV on children's skin
1199,Biochemistry and Cell Biology,WO-2013086583-A1,2012,ASSAY AND METHOD FOR IDENTIFYING COMPOUNDS THAT INHIBIT EXCITOTOXIC SIGNALS
1200,Artificial Intelligence and Image Processing,US-10034645-B1,2017,Systems and methods for detecting complex networks in MRI image data
1201,Analytical Chemistry,US-9694039-B2,2015,"Microbiota restoration therapy (MRT), compositions and methods of manufacture"
1202,Biochemistry and Cell Biology,EP-3211420-A1,2017,ASSAY FOR DETECTION OF CHIMERIC ANTIGEN RECEPTOR T CELLS
1203,Public Health and Health Services,US-9011834-B1,2014,Compositions and methods
1204,Paediatrics and Reproductive Medicine,WO-2015044230-A1,2014,METHOD FOR EVALUATING THE HARMFUL EFFECTS OF UV ON CHILDREN'S SKIN
1205,Artificial Intelligence and Image Processing,EP-3242142-A1,2016,A METHOD AND APPARATUS TO AUTOMATICALLY DETERMINE VELOCITY ENCODING DIRECTIONS
1206,Immunology,EP-2694640-A1,2012,REVERSING THE EFFECTS OF THE TUMOR MICROENVIRONMENT USING CHIMERIC CYTOKINE RECEPTORS
1207,Cardiorespiratory Medicine and Haematology,WO-2014140243-A1,2014,METHOD AND PHARMACEUTICAL COMPOSITION FOR USE IN THE TREATMENT AND PREDICTION OF MYOCARDIAL INFARCTION
1208,Pharmacology and Pharmaceutical Sciences,US-8906939-B2,2008,3-cyano-4-(4-tetrahydropyran-phenyl)-pyridin-2-one derivatives
1209,Neurosciences,US-8906939-B2,2008,3-cyano-4-(4-tetrahydropyran-phenyl)-pyridin-2-one derivatives
1210,Neurosciences,US-8722894-B2,2008,"1,3-disubstituted-4-phenyl-1H-pyridin-2-ones"
1211,Pharmacology and Pharmaceutical Sciences,US-9708315-B2,2014,"1,2,4-triazolo[4,3-a]pyridine compounds and their use as positive allosteric modulators of MGLUR2 receptors"
1212,Pharmacology and Pharmaceutical Sciences,US-8993591-B2,2011,"1,2,4-triazolo[4,3-a] pyridine derivatives and their use as positive allosteric modulators of MGLUR2 receptors"
1213,Pharmacology and Pharmaceutical Sciences,US-9271967-B2,2011,"1,2,4-triazolo[4,3-a]pyridine derivatives and their use as positive allosteric modulators of mGluR2 receptors"
1214,Pharmacology and Pharmaceutical Sciences,US-8937060-B2,2010,"1,2,4-triazolo [4,3-A] pyridine derivatives and their use for the treatment of prevention of neurological and psychiatric disorders"
1215,Clinical Sciences,EP-2792752-A4,2012,METHOD FOR THE DIAGNOSIS AND/OR PROGNOSIS OF ACUTE RENAL DAMAGE
1216,Paediatrics and Reproductive Medicine,FR-3011008-A1,2013,Evaluation of the effects of uv deleterious on the skin of children
1217,Neurosciences,US-9132122-B2,2013,"1′,3′-disubstituted-4-phenyl-3,4,5,6-tetrahydro-2H,1′H-[1,4′]bipyridinyl-2′-ones"
1218,Pharmacology and Pharmaceutical Sciences,US-8691813-B2,2009,Indole and benzoxazine derivatives as modulators of metabotropic glutamate receptors
1219,Public Health and Health Services,US-9585921-B2,2015,Compositions and methods
1220,Biochemistry and Cell Biology,WO-2015063669-A1,2014,PHARMACEUTICAL COMPOSITIONS COMPRISING COMBINATION OF ROFLUMILAST AND ACEBROPHYLLINE OR PHARMACEUTICALLY ACCEPTABLE SALTS THEREOF
1221,Neurosciences,US-8748621-B2,2012,"1,3-disubstituted 4-(aryl-X-phenyl)-1H-pyridin-2-ones"
1222,Public Health and Health Services,US-9855303-B2,2017,Compositions and methods
1223,Public Health and Health Services,US-9446080-B2,2016,Compositions and methods
1224,Pharmacology and Pharmaceutical Sciences,US-8946205-B2,2010,"1,2,4-triazolo[4,3-a]pyridine derivatives and their use as positive allosteric modulators of mGluR2 receptors"
1225,Public Health and Health Services,US-9180147-B2,2014,Compositions and methods
1226,Pharmacology and Pharmaceutical Sciences,US-9085577-B2,2014,"7-aryl-1,2,4-triazolo[4,3-A]pyridine derivatives and their use as positive allosteric modulators of mGluR2 receptors"
1227,Biomedical Engineering,WO-2013045920-A1,2012,PATIENT MONITORING METHOD AND MONITORING DEVICE
1228,Analytical Chemistry,US-9642880-B2,2015,"Microbiota restoration therapy (MRT), compositions and methods of manufacture"
1229,Genetics,WO-2015010744-A1,2013,SERONEGATIVE SPONDYLOARTHROPATHY DIAGNOSIS AND TREATMENT
1230,Pharmacology and Pharmaceutical Sciences,US-8697689-B2,2009,Indole and benzomorpholine derivatives as modulators of metabotropic glutamate receptors
1231,Pharmacology and Pharmaceutical Sciences,US-9012448-B2,2011,"1,2,4-triazolo[4,3-a]pyridine derivatives and their use as positive allosteric modulators of MGLUR2 receptors"
1232,Analytical Chemistry,US-9782445-B2,2015,"Microbiota restoration therapy (MRT), compositions and methods of manufacture"
1233,Neurosciences,US-9114138-B2,2008,"1′,3′-disubstituted-4-phenyl-3,4,5,6-tetrahydro-2H,1′H-[1,4′] bipyridinyl-2′-ones"
1234,Neurosciences,US-9266834-B2,2014,"1, 4-disubstituted 3-cyano-pyridone derivatives and their use as positive allosteric modulators of MGLUR2-receptors"
1235,Microbiology,US-9533014-B2,2015,Synergistic bacterial compositions and methods of production and use thereof
1236,Pharmacology and Pharmaceutical Sciences,US-8716480-B2,2010,"7-aryl-1,2,4-triazolo[4,3-a]pyridine derivatives and their use as positive allosteric modulators of mGluR2 receptors"
1237,Artificial Intelligence and Image Processing,US-20170039717-A1,2016,"IMAGE PROCESSING APPARATUS, IMAGE PROCESSING METHOD, AND STORAGE MEDIUM"
1238,Pharmacology and Pharmaceutical Sciences,US-9226930-B2,2014,"1,2,4-triazolo [4,3-a] pyridine derivatives and their use for the treatment of prevention of neurological and psychiatric disorders"
1239,Public Health and Health Services,WO-2018002240-A1,2017,NUTRITIONAL COMPOSITION COMPRISING A PROBIOTIC FOR THE PREVENTION AND/OR TREATMENT OF ANXIETY DISORDERS AND RELATED CONDITIONS IN A MAMMAL
1240,Public Health and Health Services,WO-2018002238-A1,2017,NUTRITIONAL COMPOSITION COMPRISING A PROBIOTIC FOR THE PREVENTION AND/OR TREATMENT OF ANXIETY DISORDERS AND RELATED CONDITIONS IN A MAMMAL
1241,Neurosciences,US-8785486-B2,2008,"Imidazo[1,2-A]pyridine derivatives and their use as positive allosteric modulators of mGluR2 receptors"
1242,Other Medical and Health Sciences,WO-2017182796-A1,2017,BACTERIOTHERAPY
1243,Analytical Chemistry,US-9511099-B2,2014,"Microbiota restoration therapy (MRT), compositions and methods of manufacture"
1244,Medical Biotechnology,US-9511100-B2,2014,"Microbiota restoration therapy (MRT), compositions and methods of manufacture"
1245,Pharmacology and Pharmaceutical Sciences,US-9067891-B2,2012,"1,4-disubstituted 3-cyano-pyridone derivatives and their use as positive allosteric modulators of mGluR2-receptors"
1246,Food Sciences,WO-2016113465-A1,2016,LOW-FRUCTAN GRAIN MATERIAL AND A METHOD FOR PRODUCING THE SAME
1247,Oncology and Carcinogenesis,WO-2013122918-A1,2013,METHODS AND COMPOSITIONS FOR INHIBITING A MULTI-CANCER MESENCHYMAL TRANSITION MECHANISM
1248,Biochemistry and Cell Biology,WO-2013122918-A1,2013,METHODS AND COMPOSITIONS FOR INHIBITING A MULTI-CANCER MESENCHYMAL TRANSITION MECHANISM
1249,Analytical Chemistry,US-9433651-B2,2014,"Microbiota restoration therapy (MRT), compositions and methods of manufacture"
1250,Cardiorespiratory Medicine and Haematology,WO-2014064192-A1,2013,METHOD AND PHARMACEUTICAL COMPOSITION FOR USE IN THE TREATMENT AND PREDICTION OF MYOCARDIAL INFRACTION
1251,Pharmacology and Pharmaceutical Sciences,US-10071095-B2,2017,"1,2,4-triazolo [4,3-A] pyridine derivatives and their use for the treatment of neurological and psychiatric disorders"
1252,Immunology,WO-2017217985-A1,2016,"METHODS AND COMPOSITIONS FOR THE TREATMENT OF CELIAC DISEASE, NON-CELIAC GLUTEN SENSITIVITY, AND REFRACTORY CELIAC DISEASE"
1253,Immunology,EP-2694640-A4,2012,REVERSING THE EFFECTS OF THE TUMOR MICROENVIRONMENT USING CHIMERIC CYTOKINE RECEPTORS
1254,Pharmacology and Pharmaceutical Sciences,US-8691849-B2,2009,3-azabicyclo[3.1.0]hexyl derivatives as modulators of metabotropic glutamate receptors
1255,Artificial Intelligence and Image Processing,WO-2014188368-A1,2014,A METHOD FOR GREY ZONE IMAGING USING RELATIVE R1 CHANGES
1256,Microbiology,US-9028841-B2,2014,Synergistic bacterial compositions and methods of production and use thereof
1257,Artificial Intelligence and Image Processing,US-9471976-B2,2015,System and method for data driven gating of multiple bed positions
1258,Public Health and Health Services,US-10064901-B2,2017,Compositions and methods
1259,Immunology,WO-2013180238-A1,2013,THERAPEUTIC AGENT OR PROPHYLACTIC AGENT FOR DEMENTIA
1260,Immunology,US-9956282-B2,2014,Bacterial compositions and methods of use thereof for treatment of immune system disorders
1261,Pharmacology and Pharmaceutical Sciences,US-9737533-B2,2015,"1,2,4-triazolo [4,3-A] pyridine derivatives and their use for the treatment of prevention of neurological and psychiatric disorders"
1262,Biochemistry and Cell Biology,WO-2015068075-A2,2014,DETECTION OF TAU
1263,Pharmacology and Pharmaceutical Sciences,US-8841323-B2,2007,"1, 4-disubstituted 3-cyano-pyridone derivatives and their use as positive allosteric modulators of MGLUR2-receptors"
1264,Immunology,EP-3305890-A1,2012,REVERSING THE EFFECTS OF THE TUMOR MICROENVIRONMENT USING CHIMERIC CYTOKINE RECEPTORS
1265,Analytical Chemistry,US-9675648-B2,2014,"Microbiota restoration therapy (MRT), compositions and methods of manufacture"
1266,Artificial Intelligence and Image Processing,EP-3086287-A1,2015,FLOW ANALYSIS IN 4D MR IMAGE DATA
1267,Medical Microbiology,US-10064900-B2,2014,Methods of populating a gastrointestinal tract
1268,Biochemistry and Cell Biology,WO-2017178333-A1,2017,"RETRO-INVERSO PEPTIDE INHIBITORS OF CELL MIGRATION, EXTRACELLULAR MATRIX AND ENDOTHELIAL INVASION BY TUMOR CELLS"
1269,Artificial Intelligence and Image Processing,US-9757862-B2,2015,Tactile sensor
1270,Medical Microbiology,US-9061008-B2,2013,Hepatitis B antiviral agents
1271,Biochemistry and Cell Biology,WO-2015033267-A1,2014,USE OF ARPIN A NEW INHIBITOR OF THE ARP2/3 COMPLEX FOR THE DIAGNOSIS AND TREATMENT OF DISEASES
1272,Immunology,US-8323662-B1,2012,Methods useful for generating highly mannosylated pseudotyped lentiviral vector particles comprising a Vpx protein
1273,Genetics,EP-2714932-A4,2012,GENES DYSREGULATED IN AUTISM AS BIOMARKERS AND TARGETS FOR THERAPEUTIC PATHWAYS
1274,Communications Technologies,WO-2015110141-A1,2014,INTERFERENCE MITIGATION
1275,Electrical and Electronic Engineering,WO-2015110141-A1,2014,INTERFERENCE MITIGATION
1276,Cardiorespiratory Medicine and Haematology,US-9459264-B2,2015,Lipidomic biomarkers for atherosclerosis and cardiovascular disease
1277,Oncology and Carcinogenesis,WO-2014083567-A2,2013,"METHODS OF PREVENTING TUMOR METASTASIS, TREATING AND PROGNOSING CANCER AND IDENTIFYING AGENTS WHICH ARE PUTATIVE METASTASIS INHIBITORS"
1278,Biochemistry and Cell Biology,WO-2014083567-A2,2013,"METHODS OF PREVENTING TUMOR METASTASIS, TREATING AND PROGNOSING CANCER AND IDENTIFYING AGENTS WHICH ARE PUTATIVE METASTASIS INHIBITORS"
1279,Clinical Sciences,US-9505722-B2,2015,Azepane derivatives and methods of treating hepatitis B infections
1280,Clinical Sciences,US-9873671-B2,2016,Azepane derivatives and methods of treating hepatitis B infections
1281,Medical Microbiology,US-9751857-B2,2014,Hepatitis B antiviral agents
1282,Communications Technologies,US-10004085-B2,2014,Scheduling for heterogeneous networks
1283,Electrical and Electronic Engineering,US-10004085-B2,2014,Scheduling for heterogeneous networks
1284,Communications Technologies,US-9986440-B2,2017,Interference and mobility management in UAV-assisted wireless networks
1285,Clinical Sciences,US-10071961-B2,2017,Carboxamide derivatives and the use thereof as medicaments for the treatment of hepatitis B
1286,Materials Engineering,WO-2017097720-A1,2016,"SYSTEM FOR DETECTING STRESSES OR STRAINS, IN PARTICULAR FOR A TOUCH SKIN"
1287,Genetics,WO-2013132074-A3,2013,A GENOTYPING TEST FOR ASSESSING RISK OF AUTISM
1288,Clinical Sciences,US-9884831-B2,2016,Azocane and azonane derivatives and methods of treating hepatitis B infections
1289,Communications Technologies,US-9549409-B2,2013,Method for cancelling downlink interference in a LTE-advanced network
1290,Organic Chemistry,US-9895349-B2,2014,N-phenyl-carboxamide derivatives and the use thereof as medicaments for the treatment of hepatitis B
1291,Numerical and Computational Mathematics,US-9753023-B2,2016,Nanofiber grid and related methods
1292,Inorganic Chemistry,WO-2012167368-A1,2012,METAL CHELATING COMPOSITIONS AND METHODS FOR CONTROLLING THE GROWTH OR ACTIVITIES OF A LIVING CELL OR ORGANISM
1293,Artificial Intelligence and Image Processing,WO-2017102634-A1,2016,METHOD AND APPARATUS FOR CAMERA-BASED ROAD SIGN RECOGNITION IN A MOTOR VEHICLE
1294,Communications Technologies,US-9288022-B2,2013,"Method for controlling operation within a cell of a wireless cellular network, base station and wireless cellular network"
1295,Medical Biochemistry and Metabolomics,US-9841431-B2,2015,Lipidomic biomarkers for identification of high-risk coronary artery disease patients
1296,Biochemistry and Cell Biology,WO-2016207638-A1,2016,CONTROLLED CELL DELIVERY VEHICLE AND TREATMENT OF TUMOURS
1297,Electrical and Electronic Engineering,US-9775149-B2,2015,Interference management for dynamic uplink and downlink configuration
1298,Genetics,US-10002230-B2,2015,"Screening, diagnosis and prognosis of autism and other developmental disorders"
1299,Medical Biotechnology,EP-3008174-A4,2014,METHOD OF EFFICIENTLY ESTABLISHING INDUCED PLURIPOTENT STEM CELLS
1300,Clinical Sciences,US-9400280-B2,2015,Piperidine derivatives and methods of treating hepatitis B infections
1301,Communications Technologies,US-8879492-B2,2011,Methods and arrangements for handling a downlink transmission in a cellular network
1302,Clinical Sciences,US-9181288-B2,2015,Azepane derivatives and methods of treating hepatitis B infections
1303,Communications Technologies,WO-2013189728-A1,2013,A METHOD FOR CANCELLING DOWNLINK INTERFERENCE IN A LTE-ADVANCED NETWORK
1304,Communications Technologies,WO-2013007279-A1,2011,METHODS AND ARRANGEMENTS FOR HANDLING A DOWNLINK TRANSMISSION IN A CELLULAR NETWORK
1305,Biochemistry and Cell Biology,US-9771585-B2,2016,miR-155 inhibitors for treating cutaneous T cell lymphoma (CTCL)
1306,Oncology and Carcinogenesis,US-9771585-B2,2016,miR-155 inhibitors for treating cutaneous T cell lymphoma (CTCL)
1307,Cardiorespiratory Medicine and Haematology,US-9255935-B2,2015,Lipid biomarkers for stable and unstable heart disease
1308,Biochemistry and Cell Biology,US-9255935-B2,2015,Lipid biomarkers for stable and unstable heart disease
1309,Medical Microbiology,US-9676747-B2,2015,Hepatitis B antiviral agents
1310,Biomedical Engineering,US-9868217-B2,2016,All-elastomer 3-axis contact resistive tactile sensor arrays and micromilled manufacturing methods thereof
1311,Communications Technologies,US-9398586-B2,2014,Almost blank subframe based orthogonal resource allocation in a wireless network environment
1312,Artificial Intelligence and Image Processing,DE-102016108966-A1,2016,Visual-haptic sensor for 6D force / torque
1313,Clinical Sciences,US-9169212-B2,2014,Azepane derivatives and methods of treating hepatitis B infections
1314,Genetics,WO-2013132074-A2,2013,A GENOTYPING TEST FOR ASSESSING RISK OF AUTISM
1315,Electrical and Electronic Engineering,WO-2013181806-A1,2012,METHOD AND APPARATUS FOR DECODING FEEDBACK SENSING FOR COGNITIVE RADIO NETWORKS
1316,Cardiorespiratory Medicine and Haematology,US-9857386-B2,2016,Lipidomic biomarkers for atherosclerosis and cardiovascular disease
1317,Genetics,US-9506033-B2,2013,Compositions and methods for inducing myoblast differentiation and myotube formation
1318,Clinical Sciences,US-9164106-B2,2013,Determination of decreased metabolism of tryptophan in diagnosis of autism spectrum disorders
1319,Communications Technologies,US-10039095-B2,2016,Almost blank subframe based orthogonal resource allocation in a wireless network environment
1320,Communications Technologies,EP-2807889-A4,2013,INTERFERENCE MANAGEMENT FOR DYNAMIC UPLINK AND DOWNLINK CONFIGURATION
1321,Communications Technologies,US-9622133-B1,2015,Interference and mobility management in UAV-assisted wireless networks
1322,Genetics,EP-2475791-A2,2010,ANALYSIS OF Y-CHROMOSOME STR MARKERS
1323,Communications Technologies,US-9344248-B2,2011,Positioning reference signal assistance data signaling for enhanced interference coordination in a wireless communication network
1324,Cardiorespiratory Medicine and Haematology,WO-2015084876-A1,2014,PERSONALIZED COMPUTATIONAL MODELING OF ATRIAL FIBROSIS TO GUIDE CATHETER ABLATION OF ATRIAL FIBRILLATION
1325,Biochemistry and Cell Biology,EP-3231811-A1,2016,"RETRO-INVERSO PEPTIDE INHIBITORS OF CELL MIGRATION, EXTRACELLULAR MATRIX AND ENDOTHELIAL INVASION BY TUMOR CELLS"
1326,Communications Technologies,US-9485749-B2,2011,Idle state interference mitigation in wireless communication network
1327,Communications Technologies,US-10014993-B2,2016,Downlink interference coordination in a radio communication network
1328,Organic Chemistry,US-9884818-B2,2014,Sulphamoylpyrrolamide derivatives and the use thereof as medicaments for the treatment of hepatitis B
1329,Communications Technologies,US-9478854-B2,2014,Devices and methods for reducing interference between closely collocated antennas
1330,Electrical and Electronic Engineering,EP-2807889-A1,2013,INTERFERENCE MANAGEMENT FOR DYNAMIC UPLINK AND DOWNLINK CONFIGURATION
1331,Artificial Intelligence and Image Processing,US-9396309-B2,2013,Display apparatus and display method displaying simulation results of a three dimensional model of an organ
1332,Physical Chemistry (incl. Structural),US-9625333-B2,2014,Tactile sensor
1333,Communications Technologies,WO-2012064589-A1,2011,INTERFERENCE MEASUREMENTS IN ENHANCED INTER-CELL INTERFERENCE COORDINATION CAPABLE WIRELESS TERMINALS
1334,Biochemistry and Cell Biology,US-9994852-B2,2017,Oligonucleotide compositions and uses thereof
1335,Cardiorespiratory Medicine and Haematology,US-9046538-B2,2011,Lipidomic biomarkers for atherosclerosis and cardiovascular disease
1336,Materials Engineering,WO-2017122159-A1,2017,ENCAPSULATED TRANSDUCER FOR HAPTIC INTERFACES
1337,Communications Technologies,WO-2013008190-A3,2012,WIRELESS COMMUNICATIONS
1338,Electrical and Electronic Engineering,WO-2013008190-A3,2012,WIRELESS COMMUNICATIONS
1339,Communications Technologies,WO-2013037422-A1,2011,COMMUNICATIONS IN RADIO SERVICE AREAS
1340,Communications Technologies,US-9356709-B2,2012,Downlink interference coordination in a radio communication network
1341,Communications Technologies,US-8837301-B2,2011,Interference measurements in enhanced inter-cell interference coordination capable wireless terminals
1342,Communications Technologies,US-9635676-B2,2015,Apparatus for an enhanced node B for inter-cell interference coordination in wireless networks
1343,Communications Technologies,US-9497639-B2,2013,Methods and apparatus for adapting femtocell properties based on changes detected in network topology
1344,Clinical Sciences,US-9339510-B2,2015,Azepane derivatives and methods of treating hepatitis B infections
1345,Electrical and Electronic Engineering,US-8989112-B2,2012,eICIC carrier aggregation using extension carriers
1346,Physical Chemistry (incl. Structural),DE-102015015497-A1,2015,"Various applications of high-resolution fluorescence-based microscopy methods (RESOLFT / STED et al.) Based methods, such as fluorescence-based nanostructuring"
1347,Biochemistry and Cell Biology,EP-2842566-A1,2013,USE OF ARPIN A NEW INHIBITOR OF THE ARP2/3 COMPLEX FOR THE DIAGNOSIS AND TREATMENT OF DISEASES
1348,Biochemistry and Cell Biology,WO-2016207637-A1,2016,CELL MODIFICATION AND APPLICATION IN THERAPY
1349,Communications Technologies,US-9621308-B2,2014,Interference measurements in enhanced inter-cell interference coordination capable wireless terminals
1350,Medical Microbiology,US-9066932-B2,2013,Hepatitis B antiviral agents
1351,Electrical and Electronic Engineering,US-9239346-B2,2013,Systems for providing electro-mechanical sensors
1352,Artificial Intelligence and Image Processing,US-20130332134-A1,2013,"COMPUTER PRODUCT, DISPLAY METHOD, AND DISPLAY APPARATUS"
1353,Genetics,EP-2877605-A4,2013,"SCREENING, DIAGNOSIS AND PROGNOSIS OF AUTISM AND OTHER DEVELOPMENTAL DISORDERS"
1354,Medical Biochemistry and Metabolomics,US-9201080-B2,2011,Lipidomic biomarkers for identification of high-risk coronary artery disease patients
1355,Medical Microbiology,US-9758477-B2,2015,Sulfamoylbenzamide derivatives as antiviral agents against HBV infection
1356,Clinical Sciences,US-9758477-B2,2015,Sulfamoylbenzamide derivatives as antiviral agents against HBV infection
1357,Communications Technologies,US-9288804-B2,2014,Almost blank subframe based orthogonal resource allocation in a wireless network environment
1358,Organic Chemistry,EP-3138851-A1,2016,"QUATERNARY ASSEMBLIES OF WATER-SOLUBLE NON-PEPTIDE HELICAL FOLDAMERS, THEIR USE AND PRODUCTION THEREOF"
1359,Neurosciences,EP-2705842-A1,2012,Therapeutic approaches for treating parkinson's disease
1360,Biochemistry and Cell Biology,WO-2014087658-A1,2013,METHOD OF CELL FUSION AND FUSION CELLS
1361,Medical Biotechnology,EP-2703487-A1,2012,PEPTIDE FOR INDUCING REGENERATION OF TISSUE AND USE THEREOF
1362,Biochemistry and Cell Biology,US-20150219635-A1,2013,Method for Identifying Compounds of Therapeutic Interest
1363,Immunology,EP-3178487-A1,2015,A METHOD FOR OBTAINING HEMATOPOETIC CELL POPULATION CONTAINING REGULATORY T CELLS (TREGS) SPECIFIC FOR AN IRRELEVANT ANTIGEN
1364,Medical Biochemistry and Metabolomics,US-9119826-B2,2012,Omega 3 fatty acid for use as a prescription medical food and omega 3 fatty acid diagniostic assay for the dietary management of cardiovascular patients with cardiovascular disease (CVD) who are deficient in blood EPA and DHA levels
1365,Nutrition and Dietetics,US-9119826-B2,2012,Omega 3 fatty acid for use as a prescription medical food and omega 3 fatty acid diagniostic assay for the dietary management of cardiovascular patients with cardiovascular disease (CVD) who are deficient in blood EPA and DHA levels
1366,Immunology,US-8951522-B2,2012,Methods for treating conditions associated with MASP-2 dependent complement activation
1367,Immunology,US-8840893-B2,2011,Methods for treating conditions associated with MASP-2 dependent complement activation
1368,Immunology,US-9901082-B2,2013,Genetically modified non-human animals and methods of use thereof
1369,Genetics,EP-2704743-A1,2012,COMPOSITIONS FOR INHIBITING MASP-2 DEPENDENT COMPLEMENT ACITIVATION
1370,Oncology and Carcinogenesis,US-9988685-B2,2014,"Methods and kits for diagnosing, prognosticating risk/outcome, and/or treating breast cancer"
1371,Biochemistry and Cell Biology,US-9587281-B2,2015,Cereblon isoforms and their use as biomarkers for therapeutic treatment
1372,Medical Biochemistry and Metabolomics,US-8951514-B2,2012,Statin and omega 3 fatty acids for reduction of apolipoprotein-B levels
1373,Cardiorespiratory Medicine and Haematology,EP-2896964-A1,2014,MD-2 as biomarker in heart failure
1374,Biochemistry and Cell Biology,US-20140093513-A1,2013,METHODS OF LOWERING PROPROTEIN CONVERSATE SUBTILISIN/KEXIN TYPE 9 (PCSK9)
1375,Biochemistry and Cell Biology,US-9238077-B2,2014,Fatty acid niacin conjugates and their uses
1376,Immunology,US-9986724-B2,2016,Genetically modified non-human animals and methods of use thereof
1377,Biochemistry and Cell Biology,US-9816080-B2,2015,Delivery of CAS9 via ARRDC1-mediated microvesicles (ARMMs)
