supporting_grant_ids,doi,year,title
"['grant.6717641', 'grant.6716069']",10.1371/journal.pone.0080302,2013,High Morbidity during Treatment and Residual Pulmonary Disability in Pulmonary Tuberculosis: Under-Recognised Phenomena
['grant.6895027'],10.1371/journal.pone.0079156,2013,Human Papillomavirus Type-Specific Prevalence in the Cervical Cancer Screening Population of Czech Women
['grant.7486795'],10.1371/journal.pone.0078193,2013,Development of a Biosafety Enhanced and Immunogenic Salmonella Enteritidis Ghost Using an Antibiotic Resistance Gene Free Plasmid Carrying a Bacteriophage Lysis System
['grant.6716069'],10.1371/journal.pone.0077811,2013,Highly Sensitive Quantitative Real-Time PCR for the Detection of Plasmodium Liver-Stage Parasite Burden following Low-Dose Sporozoite Challenge
['grant.7022667'],10.3892/ijmm.2013.1466,2013,Development of a dendritic cell vaccine encoding multiple cytotoxic T lymphocyte epitopes targeting hepatitis C virus
"['grant.3946651', 'grant.7446466']",10.1007/s00253-013-5134-0,2013,High-level soluble expression of bioactive porcine myostatin propeptide in E. coli
"['grant.6717641', 'grant.6716069']",10.1371/journal.pone.0076077,2013,"Tuberculosis Outcomes in Papua, Indonesia: The Relationship with Different Body Mass Index Characteristics between Papuan and Non-Papuan Ethnic Groups"
"['grant.7990740', 'grant.7989112', 'grant.']",10.1371/journal.pgen.1003775,2013,Recent Acquisition of Helicobacter pylori by Baka Pygmies
['grant.7990743'],10.1371/journal.pone.0075192,2013,Gastric Epithelial Expression of IL-12 Cytokine Family in Helicobacter pylori Infection in Human: Is it Head or Tail of the Coin?
['grant.7989779'],10.1016/j.chroma.2013.07.081,2013,Continuous purification of influenza virus using simulated moving bed chromatography
['grant.7486795'],10.1016/j.tvjl.2013.03.024,2013,Adjuvant effect of Escherichia coli heat labile enterotoxin B subunit against internal egg contamination in domestic fowl immunised with a live Salmonella enterica serovar Enteritidis vaccine
['grant.7486795'],10.1016/j.cimid.2013.06.002,2013,Enhanced protective immune responses against Salmonella Enteritidis infection by Salmonella secreting an Escherichia coli heat-labile enterotoxin B subunit protein
"['grant.', 'grant.3636977', 'grant.6717641', 'grant.6716069']",10.1371/journal.pone.0070032,2013,"L-arginine and Vitamin D Adjunctive Therapies in Pulmonary Tuberculosis: A Randomised, Double-Blind, Placebo-Controlled Trial"
"['grant.6718866', 'grant.6722899', 'grant.6716069', 'grant.6720900', 'grant.6722678']",10.1084/jem.20121972,2013,Apoptosis and dysfunction of blood dendritic cells in patients with falciparum and vivax malaria
"['grant.3636977', 'grant.', 'grant.6720656', 'grant.6715629', 'grant.6716069']",10.1371/journal.pone.0069587,2013,"A Randomized Pilot Study of L-Arginine Infusion in Severe Falciparum Malaria: Preliminary Safety, Efficacy and Pharmacokinetics"
['grant.6716069'],10.1128/jcm.03285-12,2013,"Evaluation of the Sensitivity of a pLDH-Based and an Aldolase-Based Rapid Diagnostic Test for Diagnosis of Uncomplicated and Severe Malaria Caused by PCR-Confirmed Plasmodium knowlesi, Plasmodium falciparum, and Plasmodium vivax"
['grant.6716069'],10.1371/journal.ppat.1003254,2013,Transcriptional Responses of In Vivo Praziquantel Exposure in Schistosomes Identifies a Functional Role for Calcium Signalling Pathway Member CamKII
"['grant.6728257', 'grant.6717425']",10.1128/jvi.02821-12,2013,Estimating Cytomegalovirus Growth Rates by Using Only a Single Point
['grant.7486795'],10.1637/10277-061312-reg.1,2013,Construction of an Attenuated Salmonella Delivery System Harboring Genes Encoding Various Virulence Factors of Avian Pathogenic Escherichia coli and Its Potential as a Candidate Vaccine for Chicken Colibacillosis
['grant.7990743'],10.1111/hel.12000,2013,Differential Expression of Human Beta Defensin 2 and 3 in Gastric Mucosa of Helicobacter pylori‐Infected Individuals
"['grant.7192334', 'grant.8173186']",10.1016/j.vetmic.2012.08.012,2013,Reduction of infectious bursal disease virus replication by shRNAs targeting the VP1 and VP2 genes driven by chicken U6 promoter
['grant.6716069'],10.1371/journal.pntd.0002026,2013,"Increasing Incidence of Plasmodium knowlesi Malaria following Control of P. falciparum and P. vivax Malaria in Sabah, Malaysia"
['grant.7478477'],10.4103/0019-5154.113959,2013,Expression of inflammatory biomarkers from cultured sebocytes was influenced by treatment with vitamin D
['grant.7486795'],10.1186/1297-9716-43-44,2012,Construction of a Salmonella Gallinarum ghost as a novel inactivated vaccine candidate and its protective efficacy against fowl typhoid in chickens
"['grant.7040482', 'grant.6726656', 'grant.6722907', 'grant.6716069']",10.1186/1756-3305-5-3,2012,"Quantitative PCR-based genome size estimation of the astigmatid mites Sarcoptes scabiei, Psoroptes ovis and Dermatophagoides pteronyssinus"
['grant.7446466'],10.1007/s10822-012-9614-6,2012,Identification of tissue-specific targeting peptide
['grant.6716069'],10.1371/journal.pone.0046870,2012,Peptide-Based Subunit Vaccine against Hookworm Infection
"['grant.6716069', 'grant.', 'grant.5237683', 'grant.3636977']",10.1128/aac.00283-12,2012,Comparative Ex Vivo Activity of Novel Endoperoxides in Multidrug-Resistant Plasmodium falciparum and P. vivax
['grant.7478477'],10.1111/j.1600-0625.2012.01572.x,2012,The effect of sebocytes cultured from nevus sebaceus on hair growth
"['grant.7002205', 'grant.4999538', 'grant.4950105']",10.1016/j.dci.2012.07.004,2012,"Immunogenicity and protective effects of inactivated Singapore grouper iridovirus (SGIV) vaccines in orange-spotted grouper, Epinephelus coioides"
"['grant.4999538', 'grant.4950105', 'grant.7002205']",10.1016/j.vetimm.2012.05.021,2012,Selection and identification of Singapore grouper iridovirus vaccine candidate antigens using bioinformatics and DNA vaccination
['grant.7453344'],10.1007/s12562-012-0531-3,2012,Antibacterial benzaldehydes produced by seaweed-derived Streptomyces atrovirens PK288-21
"['grant.6716069', 'grant.6079500']",10.1371/journal.pone.0040928,2012,Vaccination with Lipid Core Peptides Fails to Induce Epitope-Specific T Cell Responses but Confers Non-Specific Protective Immunity in a Malaria Model
"['grant.7022667', 'grant.7015582']",10.1111/j.1365-2567.2012.03590.x,2012,Dendritic cell‐based immunity and vaccination against hepatitis C virus infection
['grant.8023963'],10.1002/rcm.6147,2012,An exclusion list based label‐free proteome quantification approach using an LTQ Orbitrap
['grant.8173186'],10.1016/j.vaccine.2012.01.040,2012,Virus-like particles of hepatitis B virus core protein containing five mimotopes of infectious bursal disease virus (IBDV) protect chickens against IBDV
['grant.8041593'],10.1016/j.vaccine.2011.11.020,2012,Devices for intradermal vaccination
['grant.6716069'],10.1071/ch11292,2012,Lipid Peptide Core Nanoparticles as Multivalent Vaccine Candidates against Streptococcus pyogenes
"['grant.6732909', 'grant.6714451', 'grant.6716069']",10.1016/b978-0-12-398457-9.00005-6,2012,Chapter 5 Scabies Important Clinical Consequences Explained by New Molecular Studies
['grant.7990244'],10.1002/jgm.1627,2011,ΔE1 and high‐capacity adenoviral vectors expressing full‐length codon‐optimized merozoite surface protein 1 for vaccination against Plasmodium falciparum
['grant.6716069'],10.1186/1756-3305-4-155,2011,Differential gene expression in Schistosoma japonicum schistosomula from Wistar rats and BALB/c mice
"['grant.7785872', 'grant.2641346', 'grant.6716069', 'grant.6733737']",10.1074/mcp.m111.008326,2011,The Stability and Complexity of Antibody Responses to the Major Surface Antigen of Plasmodium falciparum Are Associated with Age in a Malaria Endemic Area
['grant.7437175'],10.1007/s00431-011-1446-1,2011,Is respiratory viral infection really an important trigger of asthma exacerbations in children?
['grant.6716069'],10.1016/j.bmcl.2011.07.102,2011,Simple synthetic toll-like receptor 2 ligands
"['grant.3636977', 'grant.', 'grant.6716069']",10.1128/aac.01375-10,2011,Ex Vivo Drug Susceptibility of Ferroquine against Chloroquine-Resistant Isolates of Plasmodium falciparum and P. vivax
"['grant.6716069', 'grant.3037491', 'grant.2641346']",10.1074/mcp.m111.007948,2011,Sterile Protective Immunity to Malaria is Associated with a Panel of Novel P. falciparum Antigens
"['grant.6716069', 'grant.6731440']",10.1002/eji.201141539,2011,Type I interferons suppress CD4+ T‐cell‐dependent parasite control during blood‐stage Plasmodium infection
"['grant.7989171', 'grant.7990307', 'grant.8023963', 'grant.7990525', 'grant.7988970']",10.1002/pmic.201100090,2011,From the genome sequence to the protein inventory of Bacillus subtilis
['grant.7990244'],10.1038/mt.2011.83,2011,miRNA-mediated Silencing in Hepatocytes Can Increase Adaptive Immune Responses to Adenovirus Vector-delivered Transgenic Antigens
['grant.6716069'],10.3201/eid1705.101489,2011,Plasmodium knowlesi Malaria in Children
"['grant.6718866', 'grant.', 'grant.6716069', 'grant.6715629', 'grant.3636977']",10.1093/infdis/jiq166,2011,Differential Cellular Recognition of Antigens During Acute Plasmodium falciparum and Plasmodium vivax Malaria
"['grant.6715629', 'grant.3636977', 'grant.6716069', 'grant.']",10.1128/aac.01220-10,2011,Ex Vivo Activity of Histone Deacetylase Inhibitors against Multidrug-Resistant Clinical Isolates of Plasmodium falciparum and P. vivax
['grant.8023963'],10.1111/j.1462-5822.2010.01538.x,2011,Expression of δ‐toxin by Staphylococcus aureus mediates escape from phago‐endosomes of human epithelial and endothelial cells in the presence of β‐toxin
['grant.8023963'],10.1111/j.1365-2958.2010.07489.x,2011,"CtsR inactivation during thiol‐specific stress in low GC, Gram+ bacteria"
"['grant.6716069', 'grant.6719414']",10.1016/j.humpath.2010.05.020,2011,Severe hepatosplenic schistosomiasis: clinicopathologic study of 102 cases undergoing splenectomy
"['grant.8023963', 'grant.7988970']",10.1038/ncomms1137,2010,Systems-wide temporal proteomic profiling in glucose-starved Bacillus subtilis
"['grant.2453853', 'grant.2597350', 'grant.2418034', 'grant.6716069', 'grant.6718866', 'grant.', 'grant.3636977']",10.1186/1475-2875-9-302,2010,A study of the TNF/LTA/LTB locus and susceptibility to severe malaria in highland papuan children and adults
"['grant.6716069', 'grant.6715629', 'grant.6717641', 'grant.']",10.1186/1471-2334-10-362,2010,"The burden and treatment of HIV in tuberculosis patients in Papua Province, Indonesia: a prospective observational study"
['grant.8023963'],10.1016/j.mimet.2010.07.022,2010,Codon-improved fluorescent proteins in investigation of Staphylococcus aureus host pathogen interactions
"['grant.6726954', 'grant.6716069']",10.1128/cvi.00195-10,2010,Increased Allergic Immune Response to Sarcoptes scabiei Antigens in Crusted versus Ordinary Scabies▿
"['grant.6718866', 'grant.6716069']",10.1186/cc9020,2010,Angiopoietin-2 is increased in sepsis and inversely associated with nitric oxide-dependent microvascular reactivity
['grant.8023963'],10.1111/j.1365-2958.2010.07158.x,2010,A dual‐function sRNA from B. subtilis: SR1 acts as a peptide encoding mRNA on the gapA operon
"['grant.8023963', 'grant.7988960']",10.1002/pmic.200900772,2010,Changing the phospholipid composition of Staphylococcus aureus causes distinct changes in membrane proteome and membrane‐sensory regulators
"['grant.7988970', 'grant.8023963']",10.1128/jb.01106-09,2010,A Comprehensive Proteomics and Transcriptomics Analysis of Bacillus subtilis Salt Stress Adaptation ▿ †
['grant.6716069'],10.5694/j.1326-5377.2010.tb03450.x,2010,Pneumonia risk stratification in tropical Australia: does the SMART‐COP score apply?
"['grant.6716069', 'grant.3572502']",10.1074/jbc.m109.061911,2009,Characterization of a Serine Protease Homologous to House Dust Mite Group 3 Allergens from the Scabies Mite Sarcoptes scabiei
"['grant.4956673', 'grant.8170800']",10.1111/j.1600-0668.2009.00611.x,2009,Influence of environmental characteristics and climatic factors on mites in the dust of air‐conditioner filters
"['grant.6715629', 'grant.6718866', 'grant.6716069', 'grant.', 'grant.6722678']",10.1186/1475-2875-8-122,2009,Human T cell recognition of the blood stage antigen Plasmodium hypoxanthine guanine xanthine phosphoribosyl transferase (HGXPRT) in acute malaria
"['grant.6718866', 'grant.6716069']",10.1186/cc8055,2009,Sepsis-associated microvascular dysfunction measured by peripheral arterial tonometry: an observational study
['grant.7437175'],10.1016/j.vaccine.2009.05.066,2009,Immunogenicity and safety of intradermal versus intramuscular route of influenza immunization in infants less than 6 months of age: A randomized controlled trial
"['grant.8170800', 'grant.4926420', 'grant.4956673']",10.1007/s10493-008-9208-0,2009,The alimentary canal of Blomia tropicalis (Acari: Astigmata: Echymopodidae): the application of three-dimensional reconstruction technology
"['grant.6718866', 'grant.6716069', 'grant.6715629']",10.1073/pnas.0805782105,2008,Angiopoietin-2 is associated with decreased endothelial nitric oxide and poor clinical outcome in severe falciparum malaria
['grant.8023963'],10.1186/gb-2008-9-5-r88,2008,"A computational model of gene expression reveals early transcriptional events at the subtelomeric regions of the malaria parasite, Plasmodium falciparum"
"['grant.8170800', 'grant.4956673']",10.1016/j.snb.2007.11.050,2008,Signal enhancement of surface plasmon resonance-based immunoassays for the allergen detection
['grant.8173186'],10.1016/j.vaccine.2007.03.018,2007,Development of a multi-mimotope peptide as a vaccine immunogen for infectious bursal disease virus
"['grant.8170800', 'grant.4956673']",10.1016/j.bioelechem.2006.10.002,2007,Impedance sensing of allergen–antibody interaction on glassy carbon electrode modified by gold electrodeposition
"['grant.7988537', 'grant.8023963', 'grant.3742081']",10.1016/j.jchromb.2006.09.029,2007,Towards the entire proteome of the model bacterium Bacillus subtilis by gel-based and gel-free approaches
"['grant.4962506', 'grant.8170752']",10.1016/j.actatropica.2006.10.014,2007,Annexin B1 at the host–parasite interface of the Taenia solium cysticercus: Secreted and associated with inflammatory reaction
['grant.8170752'],10.1042/ba20060061,2007,Design and characterization of a platelet‐targeted plasminogen activator with enhanced thrombolytic and antithrombotic potency
['grant.8170752'],10.1016/j.jbiotec.2006.04.037,2006,"Cloning, purification and biochemical characterization of a thrombus-ditargeting thrombolytic agent, comprised of annexin B1, ScuPA-32K and fibrin-adherent peptide"
['grant.8170752'],10.1016/j.cancergencyto.2006.06.011,2006,Single-nucleotide polymorphisms of mismatch repair genes in healthy Chinese individuals and sporadic colorectal cancer patients
['grant.8170752'],10.1007/s00394-006-0614-y,2006,Gene expression profiles in the liver of mice irradiated with 60Co gamma rays and treated with soybean isoflavone
"['grant.7994951', 'grant.7987167']",10.1016/j.vetmic.2005.10.043,2006,Development of a cell culture assay for the quantitative determination of vaccination-induced antibodies in rabbit sera against Clostridium perfringens epsilon toxin and Clostridium novyi alpha toxin
['grant.8167514'],10.1016/j.vaccine.2005.11.023,2006,A novel strategy to compensate the disadvantages of live vaccine using suicide-gene system and provide better antitumor immunity
"['grant.6949912', 'grant.3776874', 'grant.3764925', 'grant.3751135', 'grant.3752055']",10.1109/tnn.2006.871722,2006,Batch Map Extensions of the Kernel-Based Maximum Entropy Learning Rule
['grant.7042336'],10.1128/jcm.39.1.222-227.2001,2001,Molecular Typing of Mycobacterium bovisIsolates from Cameroon
"['grant.4102341', 'grant.6617184', 'grant.6581983', 'grant.4456580', 'grant.6581486', 'grant.6581364']",10.1038/s41467-019-12080-1,2019,Enhancing and shaping the immunogenicity of native-like HIV-1 envelope trimers with a two-component protein nanoparticle
"['grant.6582848', 'grant.2454241', 'grant.6582670']",10.1038/s41598-019-39242-x,2019,Neural correlates of early adversity among Bangladeshi infants
"['grant.4456580', 'grant.6581364', 'grant.4102341', 'grant.2705345', 'grant.7454131', 'grant.6581983', 'grant.6581486']",10.1038/s41467-019-10262-5,2019,Structure and immunogenicity of a stabilized HIV-1 envelope trimer based on a group-M consensus sequence
['grant.6581700'],10.1186/s41182-019-0158-5,2019,Relation of childhood diarrheal morbidity with the type of tube well used and associated factors of Shigella sonnei diarrhea in rural Bangladesh site of the Global Enteric Multicenter Study
"['grant.2699329', 'grant.6584273', 'grant.2580439', 'grant.2354776', 'grant.2455802', 'grant.3493423', 'grant.2580389', 'grant.7052116', 'grant.3860009']",10.1186/s13059-019-1768-2,2019,"Comparative genomic analysis of six Glossina genomes, vectors of African trypanosomes"
"['grant.6580266', 'grant.6581522', 'grant.2451204']",10.1038/s41541-018-0094-0,2019,Reprogramming the adjuvant properties of aluminum oxyhydroxide with nanoparticle technology
['grant.6581700'],10.1186/s12879-019-3948-9,2019,"Risk factors for death among children 0–59 months of age with moderate-to-severe diarrhea in Manhiça district, southern Mozambique"
['grant.6583461'],10.1186/s12913-019-4537-8,2019,Patient and provider perspectives on how trust influences maternal vaccine acceptance among pregnant women in Kenya
"['grant.6735014', 'grant.6729192', 'grant.6541398', 'grant.6582961', 'grant.6584930', 'grant.2708357']",10.1038/s41390-019-0586-2,2019,Cyclic AMP in human preterm infant blood is associated with increased TLR-mediated production of acute-phase and anti-inflammatory cytokines in vitro
"['grant.8419999', 'grant.6822043', 'grant.5919672']",10.1111/1348-0421.12742,2019,Bordet‐Gengou agar medium supplemented with albumin‐containing biologics for cultivation of bordetellae
"['grant.5125002', 'grant.2449775', 'grant.2455573', 'grant.3493112', 'grant.2438704', 'grant.6581126']",10.1126/sciimmunol.aaw7083,2019,"Nucleoside-modified mRNA encoding HSV-2 glycoproteins C, D, and E prevents clinical and subclinical genital herpes"
"['grant.6582848', 'grant.2454241']",10.1038/s41430-019-0498-6,2019,"Association of breast milk gamma-linolenic acid with infant anthropometric outcomes in urban, low-income Bangladeshi families: a prospective, birth cohort study"
['grant.6581316'],10.1016/j.ejpb.2019.07.008,2019,A spray freeze dried micropellet based formulation proof-of-concept for a yellow fever vaccine candidate
['grant.6710344'],10.1016/j.jvacx.2019.100032,2019,Evaluating the cost per child vaccinated with full versus fractional-dose inactivated poliovirus vaccine
"['grant.6047359', 'grant.5875292']",10.1093/intimm/dxz029,2019,Distinct Roles for Peyer’s Patch B Cells for Induction of Antigen-specific IgA Antibody Responses in Mice Administered Oral Recombinant Salmonella
"['grant.4456580', 'grant.6581486', 'grant.6581364']",10.3390/vaccines7030076,2019,Nanoparticle Vaccines for Inducing HIV-1 Neutralizing Antibodies
['grant.6581700'],10.1371/journal.pntd.0007607,2019,Cryptosporidium infection in rural gambian children: Epidemiology and risk factors
"['grant.6582848', 'grant.2454241']",10.1093/ofid/ofz266,2019,Increased Fecal Lactobacillus is Associated with a Positive Glucose Hydrogen Breath Test in Bangladeshi Children
"['grant.6582670', 'grant.6582848', 'grant.2454241']",10.1111/desc.12841,2019,The relationship between biological and psychosocial risk factors and resting‐state functional connectivity in 2‐month‐old Bangladeshi infants: A feasibility and pilot study
"['grant.6582848', 'grant.2454241', 'grant.6582670']",10.1371/journal.pone.0215304,2019,Child development in the context of biological and psychosocial hazards among poor families in Bangladesh
"['grant.6580835', 'grant.2438698', 'grant.5244799', 'grant.2425647', 'grant.3860008']",10.1093/cid/ciy751,2019,"Long-term Stability of Resistance to Latent Mycobacterium tuberculosis Infection in Highly Exposed Tuberculosis Household Contacts in Kampala, Uganda."
"['grant.4580219', 'grant.6665669', 'grant.3636857', 'grant.6581058', 'grant.7172613']",10.1093/infdis/jiz179,2019,"Impact of water quality, sanitation, handwashing, and nutritional interventions on enteric infections in rural Zimbabwe: the Sanitation Hygiene Infant Nutrition Efficacy (SHINE) Trial"
"['grant.7389957', 'grant.6585976', 'grant.6585395', 'grant.6580669', 'grant.3867691']",10.1371/journal.pmed.1002781,2019,Discovery and validation of a prognostic proteomic signature for tuberculosis progression: A prospective cohort study
"['grant.4102341', 'grant.6581486', 'grant.6581364']",10.1074/jbc.ra119.007360,2019,HIV-1 anchor inhibitors and membrane fusion inhibitors target distinct but overlapping steps in virus entry
['grant.5875292'],10.1093/femspd/ftz024,2019,CCR7-deficient mice exhibit a delayed antigen-specific mucosal IgA antibody response to an oral recombinant Salmonella strain.
"['grant.2705260', 'grant.2438791', 'grant.2459312', 'grant.4102280', 'grant.6583217']",10.1016/j.celrep.2019.03.097,2019,Comprehensive Profiling of HIV Antibody Evolution
"['grant.6583477', 'grant.6583794', 'grant.2705265', 'grant.2438686', 'grant.6584059']",10.1002/cyto.a.23753,2019,"OMIP‐056: Evaluation of Human Conventional T Cells, Donor‐Unrestricted T Cells, and NK Cells Including Memory Phenotype by Intracellular Cytokine Staining"
"['grant.', 'grant.7752402', 'grant.6665669', 'grant.4580219']",10.1093/trstmh/try126,2019,Neonatal vitamin A supplementation and immune responses to oral polio vaccine in Zimbabwean infants
['grant.6580576'],10.1371/journal.pntd.0007172,2019,"Parasitic infections during pregnancy need not affect infant antibody responses to early vaccination against Streptococcus pneumoniae, diphtheria, or Haemophilus influenzae type B"
"['grant.4580219', 'grant.6665669']",10.1016/s1473-3099(18)30602-9,2019,Interventions to improve oral vaccine performance: a systematic review and meta-analysis
['grant.6581700'],10.1371/journal.pntd.0007037,2019,Colonization factors among enterotoxigenic Escherichia coli isolates from children with moderate-to-severe diarrhea and from matched controls in the Global Enteric Multicenter Study (GEMS)
"['grant.6581702', 'grant.6443943']",10.1016/j.chest.2018.09.006,2018,Building a prediction model for radiographically-confirmed pneumonia in Peruvian children: from symptoms to imaging
"['grant.3637493', 'grant.6585612', 'grant.', 'grant.2769709', 'grant.7746249', 'grant.7924629', 'grant.2770321', 'grant.3638349', 'grant.7748473']",10.1038/s41598-018-31856-x,2018,Chimeric O1K foot-and-mouth disease virus with SAT2 outer capsid as an FMD vaccine candidate
['grant.6580266'],10.1038/s41541-018-0089-x,2018,Optimizing the utilization of aluminum adjuvants in vaccines: you might just get what you want
"['grant.3867560', 'grant.2695759', 'grant.3932852', 'grant.6582848', 'grant.2454241']",10.1073/pnas.1722125115,2018,Histone H3 lysine 4 methylation signature associated with human undernutrition
['grant.6586118'],10.1093/infdis/jiy500,2018,The Epidemiology of Cholera in Zanzibar: Implications for the Zanzibar Comprehensive Cholera Elimination Plan.
"['grant.2681757', 'grant.6582848', 'grant.2454241', 'grant.7172613', 'grant.4103045']",10.1093/aje/kwy106,2018,Identification of Etiology-Specific Diarrhea Associated With Linear Growth Faltering in Bangladeshi Infants.
"['grant.6580266', 'grant.2451204']",10.1016/j.smim.2018.10.004,2018,Correlates of GLA family adjuvants’ activities
"['grant.6726356', 'grant.6734560', 'grant.6731942', 'grant.6733622', 'grant.6581700']",10.1038/s41564-018-0217-4,2018,Dynamics of antimicrobial resistance in intestinal Escherichia coli from children in community settings in South Asia and sub-Saharan Africa
"['grant.5847585', 'grant.5915194', 'grant.5901678']",10.1016/j.meegid.2018.05.006,2018,Detection of nineteen enteric viruses in raw sewage in Japan
"['grant.2459630', 'grant.6584930', 'grant.3857120', 'grant.4898442', 'grant.6541398', 'grant.2457344', 'grant.6582961']",10.1128/msphere.00214-18,2018,First International Precision Vaccines Conference: Multidisciplinary Approaches to Next-Generation Vaccines
['grant.6580836'],10.1007/s12272-018-1062-y,2018,Macropored microparticles with a core–shell architecture for oral delivery of biopharmaceuticals
['grant.6581700'],10.1016/j.ijid.2018.05.012,2018,"The role of HIV infection in the etiology and epidemiology of diarrheal disease among children aged 0–59 months in Manhiça district, Rural Mozambique"
['grant.6581700'],10.1371/journal.pntd.0006640,2018,"Clinical, environmental, and behavioral characteristics associated with Cryptosporidium infection among children with moderate-to-severe diarrhea in rural western Kenya, 2008–2012: The Global Enteric Multicenter Study (GEMS)"
"['grant.5909288', 'grant.6958659', 'grant.5856944', 'grant.6821572', 'grant.5812232', 'grant.5901759']",10.1002/ange.201804437,2018,Syntheses and Immunological Evaluation of Self‐Adjuvanting Clustered N‐Acetyl and N‐Propionyl Sialyl‐Tn Combined with a T‐helper Cell Epitope as Antitumor Vaccine Candidates
"['grant.6582848', 'grant.2454241', 'grant.6585967']",10.1093/cid/ciy076,2018,Rotavirus-Specific Immunoglobulin A Responses Are Impaired and Serve as a Suboptimal Correlate of Protection Among Infants in Bangladesh.
"['grant.5812232', 'grant.6821572', 'grant.5856944', 'grant.6958659', 'grant.5901759', 'grant.5909288']",10.1002/anie.201804437,2018,Syntheses and Immunological Evaluation of Self‐Adjuvanting Clustered N‐Acetyl and N‐Propionyl Sialyl‐Tn Combined with a T‐helper Cell Epitope as Antitumor Vaccine Candidates
"['grant.3857111', 'grant.6580266']",10.4049/jimmunol.1701604,2018,Effective Combination Adjuvants Engage Both TLR and Inflammasome Pathways To Promote Potent Adaptive Immune Responses
"['grant.3933508', 'grant.6584059', 'grant.4899031', 'grant.2705265', 'grant.2705270', 'grant.2522073']",10.1093/biostatistics/kxx039,2018,Rank-based two-sample tests for paired data with missing values.
"['grant.', 'grant.6665669', 'grant.7828564', 'grant.4580219']",10.2217/fmb-2018-0016,2018,Exploring the relationship between environmental enteric dysfunction and oral vaccine responses
['grant.6580836'],10.1016/j.ejpb.2018.05.014,2018,Facile fabrication of microparticles with pH-responsive macropores for small intestine targeted drug formulation
"['grant.2705344', 'grant.6584889', 'grant.2521524', 'grant.3536465', 'grant.2681858', 'grant.2682033', 'grant.3805132', 'grant.3625399', 'grant.3867564', 'grant.6581126', 'grant.2682003', 'grant.5125002', 'grant.2455573', 'grant.2453862']",10.1084/jem.20171450,2018,Nucleoside-modified mRNA vaccines induce potent T follicular helper and germinal center B cell responses
['grant.6586118'],10.1093/cid/cix1039,2018,Immunogenicity and Protection From a Single Dose of Internationally Available Killed Oral Cholera Vaccine: A Systematic Review and Metaanalysis.
['grant.6583263'],10.1016/j.biologicals.2018.05.007,2018,WITHDRAWN: Establishment of the first International Standard for human anti-typhoid capsular Vi polysaccharide IgG
"['grant.7025720', 'grant.5850367', 'grant.6073801', 'grant.5856674', 'grant.7025721']",10.1111/jre.12533,2018,"Increased serum PCSK9, a potential biomarker to screen for periodontitis, and decreased total bilirubin associated with probing depth in a Japanese community survey"
"['grant.6582848', 'grant.2416545', 'grant.2454241']",10.1371/journal.pntd.0006363,2018,Role of maternal health and infant inflammation in nutritional and neurodevelopmental outcomes of two-year-old Bangladeshi children
['grant.6583645'],10.3201/eid2405.171651,2018,Cholera Epidemic in South Sudan and Uganda and Need for International Collaboration in Cholera Control
"['grant.5504865', 'grant.6585967', 'grant.6582848', 'grant.2454241']",10.1093/infdis/jiy054,2018,Histo-Blood Group Antigen Phenotype Determines Susceptibility to Genotype-Specific Rotavirus Infections and Impacts Measures of Rotavirus Vaccine Efficacy.
"['grant.6585536', 'grant.2459076', 'grant.2705344', 'grant.2687785', 'grant.5125002', 'grant.6581126', 'grant.2455573']",10.1038/nrd.2017.243,2018,mRNA vaccines — a new era in vaccinology
['grant.6581196'],10.1080/01457632.2017.1312869,2018,Evaporative Cooling Heat Transfer of Water From Hierarchically Porous Aluminum Coating
['grant.6582119'],10.3390/antibiotics7010019,2018,Genetic Determinants of Tetracycline Resistance in Clinical Streptococcus pneumoniae Serotype 1 Isolates from Niger
"['grant.2454241', 'grant.7172613', 'grant.4103045', 'grant.6582848']",10.1093/infdis/jix668,2018,"Quantifying the Impact of Natural Immunity on Rotavirus Vaccine Efficacy Estimates: A Clinical Trial in Dhaka, Bangladesh (PROVIDE) and a Simulation Study."
"['grant.2681934', 'grant.6583645', 'grant.2699229']",10.1371/journal.pntd.0006257,2018,Prolonging herd immunity to cholera via vaccination: Accounting for human mobility and waning vaccine effects
"['grant.6586118', 'grant.7051925']",10.1371/journal.pmed.1002509,2018,The potential impact of case-area targeted interventions in response to cholera outbreaks: A modeling study
"['grant.6586118', 'grant.4455762', 'grant.5126384']",10.1016/j.sste.2017.09.001,2018,Spatial and population drivers of persistent cholera transmission in rural Bangladesh: Implications for vaccine and intervention targeting
"['grant.6583216', 'grant.2410285', 'grant.6583645', 'grant.2666826', 'grant.2459779', 'grant.2459576', 'grant.6918891', 'grant.6618405']",10.1371/journal.pntd.0006196,2018,Dried Blood Spots for Measuring Vibrio cholerae-specific Immune Responses
"['grant.2457344', 'grant.6541398', 'grant.3857120', 'grant.6584930', 'grant.2459630', 'grant.4898442', 'grant.6582961']",10.3389/fimmu.2018.00029,2018,Adjuvant Effect of Bacille Calmette–Guérin on Hepatitis B Vaccine Immunogenicity in the Preterm and Term Newborn
['grant.6582848'],10.1016/j.heliyon.2018.e00519,2018,Antibody secreting B cells and plasma antibody response to rotavirus vaccination in infants from Kolkata India
['grant.6583461'],10.12688/gatesopenres.12833.1,2018,Provider perspectives on demand creation for maternal vaccines in Kenya
