,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,times_cited,title,year
625,"['East Tennessee State University', 'Cyberonics Inc', 'CYBERONICS INC', 'EAST TENNESSEE STATE UNIV']","[{'id': 'grid.255381.8', 'acronym': 'ETSU', 'name': 'East Tennessee State University', 'country_name': 'United States'}, {'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9415224-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight', 'Jeffrey L. Ardell']",2016-08-16,4.0,Neurostimulation and recording of physiological response for the treatment of chronic cardiac dysfunction,2014
626,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9919157-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight']",2018-03-20,,Implantable neurostimulator-implemented method for managing bradycardia through vagus nerve stimulation,2014
627,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2014.0,US-8923990-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight']",2014-12-30,5.0,Implantable device for providing electrical stimulation of cervical vagus nerves for treatment of chronic cardiac dysfunction with leadless heart rate monitoring,2013
628,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9526898-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight']",2016-12-27,1.0,Implantable neurostimulator for providing electrical stimulation of cervical vagus nerves for treatment of chronic cardiac dysfunction with bounded titration,2015
629,"['Livanova Usa Inc', 'East Tennessee State University', 'CYBERONICS INC', 'EAST TENNESSEE STATE UNIV']","[{'id': 'grid.255381.8', 'acronym': 'ETSU', 'name': 'East Tennessee State University', 'country_name': 'United States'}, {'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9950169-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight', 'Jeffrey L. Ardell']",2018-04-24,3.0,Dynamic stimulation adjustment for identification of a neural fulcrum,2014
630,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9770599-B2,"['Imad Libbus', 'Bruce H. Kenknight', 'Badri Amurthur', 'Scott R. Stubbs']",2017-09-26,,Vagus nerve stimulation and subcutaneous defibrillation system,2014
631,"['East Tennessee State University', 'Cyberonics Inc', 'CYBERONICS INC', 'EAST TENNESSEE STATE UNIV']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}, {'id': 'grid.255381.8', 'acronym': 'ETSU', 'name': 'East Tennessee State University', 'country_name': 'United States'}]",Grant,2017.0,US-9808626-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight', 'Jeffrey L. Ardell']",2017-11-07,,Responsive neurostimulation for the treatment of chronic cardiac dysfunction,2016
632,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9764138-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight']",2017-09-19,,Implantable neurostimulator-implemented method for managing tachyarrhythmia through vagus nerve stimulation,2016
633,"['Heptares Therapeutics Ltd', 'HEPTARES THERAPEUTICS LTD']","[{'id': 'grid.451116.6', 'name': 'Sosei Group Corporation (United Kingdom)', 'country_name': 'United Kingdom'}]",Grant,2017.0,US-9688660-B2,"['John Andrew Christopher', 'Miles Stuart Congreve', 'Sarah Joanne Bucknell', 'Francesca Deflorian', 'Mark Pickworth', 'Jonathan Stephen Mason']",2017-06-27,3.0,CGRP receptor antagonists,2016
634,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2014.0,US-8700150-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight']",2014-04-15,8.0,Implantable neurostimulator for providing electrical stimulation of cervical vagus nerves for treatment of chronic cardiac dysfunction with bounded titration,2013
635,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9452290-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight']",2016-09-27,8.0,Implantable neurostimulator-implemented method for managing tachyarrhythmia through vagus nerve stimulation,2012
636,"['TRIFECTA BRACE PTY LTD', 'NICHOLAS MICHAEL', 'NICHOLSON-PERRY KATHRYN', 'NEWTON-JOHN TOBY', 'KETSIMUR CATHERINE']",,Application,,WO-2017147652-A1,"['NICHOLAS, MICHAEL', 'NICHOLSON-PERRY, Kathryn', 'NEWTON-JOHN, Toby', 'KETSIMUR, Catherine', 'COOLICAN, Myles Raphael James', 'MOLLOY, Allan Richard', 'ROGER, GREGORY JAMES']",2017-09-08,1.0,"PSYCHO-SOCIAL METHODS AND APPARATUS FOR: REHABILITATION, PRE-OPERATIVELY AND POST-OPERATIVELY TO ORTHOPAEDIC SURGERY",2017
637,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9511228-B2,"['Badri Amurthur', 'Imad Libbus', 'Bruce H. Kenknight']",2016-12-06,5.0,Implantable neurostimulator-implemented method for managing hypertension through renal denervation and vagus nerve stimulation,2014
638,"['Cyberonics Inc', 'CYBERONICS INC']","[{'id': 'grid.497533.f', 'name': 'LivaNova (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9114262-B2,"['Imad Libbus', 'Badri Amurthur', 'Bruce H. Kenknight']",2015-08-25,5.0,Implantable device for evaluating autonomic cardiovascular drive in a patient suffering from chronic cardiac dysfunction,2014
639,"['Evonik Degussa GmbH', 'EVONIK INDUSTRIES AG']","[{'id': 'grid.420017.0', 'name': 'Evonik (Germany)', 'country_name': 'Germany'}]",Application,,DE-102013214713-A1,"['Tim Köhler', 'Mike Farwick', 'Matthias Mentel', 'Peter Lersch']",2015-01-29,1.0,Formulations containing sphinganine,2013
640,"['Novartis AG', 'Scripps Research Institute', 'SCHULTZ PETER', 'LAIRSON LUKE', 'DESHMUKH VISHAL', 'LYSSIOTIS COSTAS', 'SCRIPPS RESEARCH INST', 'IRM LLC']","[{'id': 'grid.419481.1', 'name': 'Novartis (Switzerland)', 'country_name': 'Switzerland'}, {'id': 'grid.214007.0', 'acronym': 'TSRI', 'name': 'Scripps Research Institute', 'country_name': 'United States'}]",Grant,2017.0,US-9592288-B2,"['Peter Schultz', 'Luke Lairson', 'Vishal Deshmukh', 'Costas Lyssiotis']",2017-03-14,,Directed differentiation of oligodendrocyte precursor cells to a myelinating cell fate,2012
641,['FRAUNHOFER GES ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E V'],"[{'id': 'grid.4561.6', 'acronym': 'FHG', 'name': 'Fraunhofer Society', 'country_name': 'Germany'}]",Application,,WO-2014064040-A1,"['OHLANDER, ANNA', 'KLINK, GERHARD', 'BOCK, KARLHEINZ', 'RUSSOM, Arman']",2014-05-01,,SYSTEM FOR CARRYING OUT A CONTACTLESS MEASUREMENT ON A SAMPLE AND SAMPLE CARRIER,2013
642,"['Universita degli Studi di Roma La Sapienza', 'Università degli Studi di Roma “La Sapienza”', 'UNIV DEGLI STUDI DI ROMA “LA SAPIENZA”']","[{'id': 'grid.7841.a', 'name': 'Sapienza University of Rome', 'country_name': 'Italy'}]",Grant,2017.0,US-9827292-B2,"['Cinzia Marchese', 'Simona Ceccarelli', 'Antonio Angeloni']",2017-11-28,,Use of KGF in the treatment of menopausal disorders,2013
643,"['GENENTECH INC', 'UNIV TEXAS']","[{'id': 'grid.418158.1', 'acronym': 'Roche', 'name': 'Roche (United States)', 'country_name': 'United States'}, {'id': 'grid.55460.32', 'acronym': 'UT System', 'name': 'The University of Texas System', 'country_name': 'United States'}]",Application,,WO-2017079399-A1,"['MERCHANT, MARK', 'SAMPATH, DEEPAK', 'KONOPLEVA, Marina Yurievna', 'HAN, Lina']",2017-05-11,,COMBINATION OF BCL-2 INHIBITOR AND MEK INHIBITOR FOR THE TREATMENT OF CANCER,2016
644,"['Evonik Degussa GmbH', 'EVONIK DEGUSSA GMBH']","[{'id': 'grid.420017.0', 'name': 'Evonik (Germany)', 'country_name': 'Germany'}]",Grant,2018.0,US-9913789-B2,"['Tim Köhler', 'Mike Farwick', 'Matthias Mentel', 'Peter Lersch']",2018-03-13,,Formulations containing sphinganine,2014
645,"['Universita degli Studi di Roma La Sapienza', 'UNIVERSIT DEGLI STUDI DI ROMA LA SAPIENZA']","[{'id': 'grid.7841.a', 'name': 'Sapienza University of Rome', 'country_name': 'Italy'}]",Application,,US-20150224172-A1,"['Cinzia Marchese', 'Simona Ceccarelli', 'Antonio Angeloni']",2015-08-13,1.0,USE OF KGF IN THE TREATMENT OF MENOPAUSAL DISORDERS,2013
646,"['Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV', 'FRAUNHOFER GES ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E V']","[{'id': 'grid.4561.6', 'acronym': 'FHG', 'name': 'Fraunhofer Society', 'country_name': 'Germany'}]",Application,,DE-102012219656-A1,"['Anna Ohlander', 'Gerhard Klink', 'Karlheinz Bock', 'Aman Russom']",2014-04-30,3.0,A system for carrying out a contactless measurement on a sample and a sample carrier,2012
647,['COUNCIL SCIENT IND RES'],"[{'id': 'grid.418099.d', 'acronym': 'CSIR', 'name': 'Council of Scientific and Industrial Research', 'country_name': 'India'}]",Application,,WO-2014080429-A1,"['DHAKATE, Sanjay Rangnath', 'KUMAR, RAJEEV', 'MATHUR, RAKESH BEHARI', 'SAINI, PARVEEN']",2014-05-30,4.0,LIGHT WEIGHT CARBON FOAM AS ELECTROMAGNETIC INTERFERENCE (EMI) SHIELDING AND THERMAL INTERFACE MATERIAL,2013
648,"['VIDA DIAGNOSTICS Inc', 'VIDA DIAGNOSTICS INC']","[{'id': 'grid.439134.8', 'name': 'Vida Diagnostics (United States)', 'country_name': 'United States'}]",Grant,2016.0,US-9504529-B2,"['Philippe Raffy', 'Youbing YIN']",2016-11-29,2.0,Treatment outcome prediction for lung volume reduction procedures,2014
649,"['PERFECT LITHIUM CORP', 'VERBUM LLC', 'NANO ONE MATERIALS CORP', 'NANO ONE MAT CORP']",,Grant,2017.0,US-9698419-B1,"['Teresita Frianeza-Kullberg', 'Lennart H. Kullberg']",2017-07-04,2.0,Complexometric precursor formulation methodology for industrial production of fine and ultrafine powders and nanopowders of layered lithium mixed metal oxides for battery applications,2014
650,"['Volant Holdings GmbH', 'FAYAD JOSEPH M', 'VOLANT HOLDINGS GMBH']",,Grant,2017.0,US-9757346-B2,['Joseph M. Fayad'],2017-09-12,4.0,Compositions and methods for treating insulin resistance and non-insulin dependent diabetes mellitus (type II diabetes),2011
651,"['TYME Inc', 'TYME INC']",,Grant,2018.0,US-9895425-B2,['Steven Hoffman'],2018-02-20,1.0,Pharmaceutical compositions and methods,2016
652,"['Perfect Lithium Corp', 'NANO ONE MATERIALS CORP', 'NANO ONE MATERIALS CORP']",,Grant,2015.0,US-9136534-B2,['Teresita Frianeza-Kullberg'],2015-09-15,,Complexometric precursors formulation methodology for industrial production of high performance fine and ultrafine powders and nanopowders for specialized applications,2013
653,"['TYME Inc', 'HOFFMAN STEVEN']",,Grant,2013.0,US-8481498-B1,['Steven Hoffman'],2013-07-09,10.0,Pharmaceutical compositions and methods,2012
654,"['Apple Inc', 'APPLE INC']","[{'id': 'grid.455360.1', 'name': 'Apple (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10084187-B2,"['Hongli Dai', 'Huiming Wu', 'Dapeng Wang']",2018-09-25,3.0,Cathode active materials having improved particle morphologies,2017
655,"['TIANJIN B&M SCIENCE AND TECHNOLOGY JOINT-STOCK Co Ltd', 'Wildcat Discovery Technologies Inc', 'Wildcat discovery technologies inc', 'TIANJIN B & M SCIENCE & TECHNOLOGY JOINT STOCK CO LTD']","[{'id': 'grid.450247.0', 'name': 'Wildcat Discovery Technologies (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-9034516-B2,"['Bin Li', 'Wei Tong', 'Jen Hsien YANG']",2015-05-19,,Materials prepared by metal extraction,2014
656,"['Wildcat Discovery Technologies Inc', 'Wildcat discovery technologies inc']","[{'id': 'grid.450247.0', 'name': 'Wildcat Discovery Technologies (United States)', 'country_name': 'United States'}]",Grant,2014.0,US-8795887-B2,"['Marissa Caldwell', 'Steven Kaye', 'Wei Tong', 'David Keogh', 'Chen Zheng']",2014-08-05,,Materials prepared by metal extraction,2013
657,"['Agency for Science Technology and Research, Singapore', 'AGENCY SCIENCE TECH & RES']","[{'id': 'grid.185448.4', 'acronym': 'A*STAR', 'name': 'Agency for Science, Technology and Research', 'country_name': 'Singapore'}]",Grant,2017.0,US-9637724-B2,['Peter Gagnon'],2017-05-02,2.0,Selective binding of biological targets to solid phase ureides,2014
658,"['LG Chem Ltd', 'LG CHEMICAL LTD']","[{'id': 'grid.464630.3', 'name': 'LG Corporation (South Korea)', 'country_name': 'South Korea'}]",Grant,2018.0,US-9972834-B2,"['Woo-Yeon Kong', 'Myung-Ki Lee', 'Min-Suk Kang', 'Sun-Sik Shin', 'Hye-Lim Jeon', 'Chi-Ho Jo', 'Geun-Gi Min', 'Wang-Mo Jung']",2018-05-15,,Cathode active material for lithium secondary battery and method for manufacturing the same,2014
659,['CONSIGLIO NAZIONALE RICERCHE'],"[{'id': 'grid.5326.2', 'acronym': 'CNR', 'name': 'National Research Council', 'country_name': 'Italy'}]",Application,,WO-2016051340-A1,"['CECI, Pierpaolo', 'FALVO, Elisabetta']",2016-04-07,1.0,"A FUSION PROTEIN, A NANOPARTICLE COMPOSED BY A PLURALITY OF MONOMERS OF SAID FUSION PROTEIN, AND USES THEREOF",2015
660,"['Yamo Pharmaceuticals LLC', 'HOFFMAN STEVEN']",,Grant,2017.0,US-9763903-B2,['Steven Hoffman'],2017-09-19,,Compositions and methods for treating intestinal hyperpermeability,2016
661,"['LG Chem Ltd', 'LG CHEMICAL LTD']","[{'id': 'grid.464630.3', 'name': 'LG Corporation (South Korea)', 'country_name': 'South Korea'}]",Application,,EP-2897201-A4,"['KONG WOO-YEON', 'LEE MYUNG-KI', 'KANG MIN-SUK', 'SHIN SUN-SIK', 'JEON HYE-LIM', 'JO CHI-HO', 'MIN GEUN-GI', 'JUNG WANG-MO']",2016-05-25,,CATHODE ACTIVE MATERIAL FOR LITHIUM SECONDARY BATTERY AND MANUFACTURING METHOD THEREFOR,2014
662,"['Bristol Myers Squibb Co', 'SQUIBB BRISTOL MYERS CO']","[{'id': 'grid.419971.3', 'acronym': 'BMS', 'name': 'Bristol-Myers Squibb (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10023519-B2,"['Yan Shi', 'Ying Wang', 'Peter T. W. Cheng', 'Shung C. Wu']",2018-07-17,,Cyclobutane containing carboxylic acid GPR120 modulators,2015
663,['BOEHRINGER INGELHEIM INT'],"[{'id': 'grid.420061.1', 'name': 'Boehringer Ingelheim (Germany)', 'country_name': 'Germany'}]",Application,,WO-2017055291-A1,"['SOLCA, FLAVIO', 'WEYER-CZERNILOFSKY, ULRIKE', 'LEE, Jae, Cheol', 'RHO, Jin, Kyung']",2017-04-06,1.0,ANTICANCER COMBINATION THERAPY,2016
664,"['PERFECT LITHIUM CORP', 'NANO ONE MATERIALS CORP', 'NANO ONE CORP', 'NANO ONE MATERIALS CORP']",,Grant,2015.0,US-9159999-B2,['Teresita Frianeza-Kullberg'],2015-10-13,,Complexometric precursor formulation methodology for industrial production of fine and ultrafine powders and nanopowders for lithium metal oxides for battery applications,2013
665,['BABRAHAM INST'],"[{'id': 'grid.418195.0', 'name': 'Babraham Institute', 'country_name': 'United Kingdom'}]",Application,,WO-2017208001-A1,"['FRASER, PETER', 'SCHOENFELDER, Stefan', 'SPIVAKOV, Mikhail']",2017-12-07,,BIOMARKERS FOR PLATELET DISORDERS,2017
666,"['Google LLC', 'GOOGLE INC']","[{'id': 'grid.420451.6', 'name': 'Google', 'country_name': 'United States'}]",Application,,EP-2680191-A3,"['SIPE, MICHAEL', 'SCHNEIDERMAN, HENRY WILL', 'NECHYBA, MICHAEL']",2017-06-28,,Facial recognition,2013
667,"['TYME Inc', 'TYME INC']",,Grant,2017.0,US-9549969-B2,['Steven Hoffman'],2017-01-24,1.0,Pharmaceutical compositions and methods,2015
668,"['TYME Inc', 'TYME INC']",,Grant,2018.0,US-10010590-B2,['Steven Hoffman'],2018-07-03,1.0,Pharmaceutical compositions and methods,2016
669,['APPLE INC'],"[{'id': 'grid.455360.1', 'name': 'Apple (United States)', 'country_name': 'United States'}]",Application,,WO-2017160856-A1,"['WU, HUIMING', 'DAI, HONGLI', 'WANG, DAPENG', 'JOHNSON, CHRISTOPHER S.', 'CARTER, JOHN DAVID', 'CUI, Yanjie', 'GUTIERREZ, ARTURO', 'IDDIR, Hakim H.', 'KROPF, Jeremy', 'LI, YAN', 'MARONI, VICTOR A.', 'VU, Anh D.', 'WANG, XIAOPING', 'YANG, Zhenzhen']",2017-09-21,,CATHODE ACTIVE MATERIALS FOR LITHIUM-ION BATTERIES,2017
670,['APPLE INC'],"[{'id': 'grid.455360.1', 'name': 'Apple (United States)', 'country_name': 'United States'}]",Application,,WO-2017160851-A1,"['DAI, HONGLI', 'PADHI, AKSHAYA K.', 'WU, HUIMING', 'WANG, DAPENG', 'JOHNSON, CHRISTOPHER S.', 'CARTER, JOHN DAVID', 'BETTGE, MARTIN', 'KIRCOVA, Ana', 'LIN, CHI-KAI', 'SHIN, YOUNGHO', 'WANG, XIAOPING']",2017-09-21,,CATHODE ACTIVE MATERIALS FOR LITHIUM-ION BATTERIES,2017
671,"['TYME Inc', 'TYME INC']",,Grant,2017.0,US-9585841-B2,['Steven Hoffman'],2017-03-07,,Tyrosine derivatives and compositions comprising them,2013
672,['HOFFMAN STEVEN'],,Grant,2016.0,US-9326962-B2,['Steven Hoffman'],2016-05-03,4.0,Compositions and methods for treating intestinal hyperpermeability,2014
673,"['STEVEN HOFFMAN', 'HOFFMAN STEVEN', 'STEVEN HOFFMAN']",,Grant,2017.0,US-9757348-B2,['Steven Hoffman'],2017-09-12,,Composition and methods for treating intestinal hyperpermeability,2016
674,"['UNIV PONTIFICIA CATOLICA CHILE', 'GONZALEZ ALFONSO', 'SOZA ANDREA', 'METZ CLAUDIA']","[{'id': 'grid.7870.8', 'acronym': 'PUC', 'name': 'Pontifical Catholic University of Chile', 'country_name': 'Chile'}]",Application,,WO-2012135970-A1,"['GONZALEZ, ALFONSO', 'SOZA, Andrea', 'METZ, Claudia']",2012-10-11,,"INHIBITORS OF PHOSPHATIDIC ACID PHOSPHOHYDROLASE (PAP), INCLUDING D-PROPRANOLOL AND ANALOGS THEREOF, ALONE OR IN COMBINATION WITH DESIPRAMINE, FOR THE TREATMENT OF CANCERS THAT DEPEND ON THE EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR), ONCOGENIC VARIANTS THEREOF AND OTHER MEMBERS OF THE ERBB/HER FAMILY",2012
675,"['THORAXKLINIK HEIDELBERG GmbH', 'THORAXKLINIK HEIDELBERG GMBH']","[{'id': 'grid.5253.1', 'name': 'University Hospital Heidelberg', 'country_name': 'Germany'}]",Application,,EP-2982765-A1,"['SCHNEIDER, MARC', 'MEISTER, MICHAEL', 'MULEY, THOMAS']",2016-02-10,,Glycodelin as diagnostic and prognostic marker and for monitoring treatment of lung diseases,2014
676,"['Yamo Pharmaceuticals LLC', 'HOFFMAN STEVEN']",,Grant,2018.0,US-10085959-B2,['Steven Hoffman'],2018-10-02,,Compositions and methods for treating intestinal hyperpermeability,2017
677,"['Bristol Myers Squibb Co', 'SQUIBB BRISTOL MYERS CO']","[{'id': 'grid.419971.3', 'acronym': 'BMS', 'name': 'Bristol-Myers Squibb (United States)', 'country_name': 'United States'}]",Grant,2015.0,US-8962660-B2,"['Hao Zhang', 'Peter T. W. Cheng', 'Sean Chen', 'Shiwei Tao', 'Shung C. Wu', 'Lidet A Negash']",2015-02-24,5.0,Oxabicyclo [2.2.2] acid GPR120 modulators,2014
678,['PLATT ADAM'],,Application,,WO-2015112619-A1,"['PLATT, ADAM']",2015-07-30,6.0,METHODS AND SYSTEMS FOR DETECTING GENETIC MUTATIONS,2015
679,"['Yamo Pharmaceuticals LLC', 'HOFFMAN STEVEN']",,Grant,2016.0,US-9308188-B2,['Steven Hoffman'],2016-04-12,1.0,Compositions and methods for treating intestinal hyperpermeability,2015
680,['FOND ST ITALIANO DI TECNOLOGIA'],,Application,,WO-2017060407-A1,"['CAPIGLIA, Claudio', 'PROIETTI ZACCARIA, Remo', 'GORIPARTI, Subrahmanyam', 'MIELE, Ermanno', 'DE ANGELIS, FRANCESCO']",2017-04-13,,DIRECT SYNTHESIS OF CARBON DOPED TiO2-BRONZE NANOSTRUCTURES AS ANODE MATERIALS FOR HIGH PERFORMANCE LITHIUM BATTERIES,2016
681,"['Radiant Opto Electronics Corp', 'RADIANT OPTO-ELECTRONICS CORP']",,Grant,2016.0,US-9432157-B2,"['Jon-Hong LIN', 'Chun-Yi SUN']",2016-08-30,,Adaptive control system and method,2014
682,['UNIV JOSEPH FOURIER'],"[{'id': 'grid.9621.c', 'acronym': 'UJF', 'name': 'Joseph Fourier University', 'country_name': 'France'}]",Application,,WO-2016034828-A1,"['DEMEILLIERS-DARBLADE, Christine, Arlette', 'OUNNAS, Faycal', 'DE LORGERIL, MICHEL', 'SALEN, PATRICIA']",2016-03-10,,TREATMENT OF HEPATIC AND CEREBELLAR TOXICITY INDUCED BY AT LEAST ONE POLLUTANT,2015
683,"['Nanyang Technological University', 'UNIV NANYANG TECH']","[{'id': 'grid.59025.3b', 'acronym': 'NTU', 'name': 'Nanyang Technological University', 'country_name': 'Singapore'}]",Grant,2018.0,US-9966726-B2,"['Guichuan Xing', 'Nripan Mathews', 'Subodh Gautam Mhaisalkar', 'Tze Chien Sum']",2018-05-08,,Emission source and method of forming the same,2014
684,"['Institut Of Batteries LLC', 'INST OF BATTERIES LLC']",,Application,,EP-3128580-A1,"['BAKENOV, Zhumabay', 'HARA, TORU', 'KURMANBAYEVA, Indira', 'MENTBAYEVA, Almagul', 'KONAROV, Aishuak']",2017-02-08,,LITHIUM METAL FREE SILICON/SULFUR BATTERY,2015
685,['DANA FARBER CANCER INST INC'],"[{'id': 'grid.65499.37', 'name': 'Dana-Farber Cancer Institute', 'country_name': 'United States'}]",Application,,WO-2013055911-A1,"['DEPINHO, RONALD, A.', 'PAIK, JI-HYE']",2013-04-18,,ZNF365/ZFP365 BIOMARKER PREDICTIVE OF ANTI-CANCER RESPONSE,2012
686,"['New York University', 'TORRES VICTOR J', 'ALONZO III FRANCIS', 'UNIV NEW YORK']","[{'id': 'grid.137628.9', 'acronym': 'NYU', 'name': 'New York University', 'country_name': 'United States'}]",Grant,2017.0,US-9783597-B2,"['Victor J. Torres', 'Francis ALONZO, III']",2017-10-10,,Methods of treating and preventing Staphylococcus aureus infections and associated conditions,2016
687,"['University of North Carolina at Chapel Hill', 'Dartmouth College', 'DARTMOUTH COLLEGE', 'UNIV NORTH CAROLINA CHAPEL HILL']","[{'id': 'grid.254880.3', 'name': 'Dartmouth College', 'country_name': 'United States'}, {'id': 'grid.10698.36', 'acronym': 'UNC', 'name': 'University of North Carolina at Chapel Hill', 'country_name': 'United States'}]",Grant,2017.0,US-9796985-B2,"['G. Eric Schaller', 'Hyo-Jung Kim', 'Joseph Kieber']",2017-10-24,,Compositions and method for modulating the sensitivity of plants to cytokinin,2014
688,"['Signal Pharmaceuticals LLC', 'SIGNAL PHARM LLC']","[{'id': 'grid.418722.a', 'acronym': 'Celgene', 'name': 'Celgene (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9783505-B2,"['Patrick Papa', 'Brian Edwin Cathers', 'Andrew Antony Calabrese', 'Brandon Wade Whitefield', 'Brydon Bennett', 'Daniel CASHION', 'Deborah Mortensen', 'Dehua Huang', 'Eduardo Torres', 'Jason Parnes', 'John Sapienza', 'Joshua Hansen', 'Katerina Leftheris', 'Matthew CORREA', 'Maria Mercedes DELGADO', 'Raj K. Raheja', 'Sogole Bahmanyar', 'Sayee Hegde', 'Stephen Norris', 'Veronique Plantevin-Krenitsky']",2017-10-10,,"Substituted diaminopyrimidyl compounds, compositions thereof, and methods of treatment therewith",2016
689,"['New York University', 'TORRES VICTOR J', 'ALONZO III FRANCIS', 'UNIV NEW YORK']","[{'id': 'grid.137628.9', 'acronym': 'NYU', 'name': 'New York University', 'country_name': 'United States'}]",Grant,2016.0,US-9481723-B2,"['Victor J. Torres', 'Francis ALONZO, III']",2016-11-01,,Methods of treating and preventing Staphylococcus aureus infections and associated conditions,2015
690,"['Nanyang Technological University', 'UNIV NANYANG TECH']","[{'id': 'grid.59025.3b', 'acronym': 'NTU', 'name': 'Nanyang Technological University', 'country_name': 'Singapore'}]",Grant,2018.0,US-9899793-B2,"['Guichuan Xing', 'Nripan Mathews', 'Subodh Gautam Mhaisalkar', 'Tze Chien Sum']",2018-02-20,,Emission source and method of forming the same,2016
691,"['Emory University', 'YOON YOUNG-SUP', 'CHENG XIAODONG', 'HAN JI WOONG', 'MAI ANTONELLO', 'UNIV EMORY']","[{'id': 'grid.189967.8', 'name': 'Emory University', 'country_name': 'United States'}]",Grant,2016.0,US-9458131-B2,"['Young-Sup Yoon', 'Xiaodong Cheng', 'Ji Woong Han', 'Antonello Mai']",2016-10-04,2.0,Compounds and compositions used to epigenetically transform cells and methods related thereto,2012
692,['SOFAR SPA'],"[{'id': 'grid.488371.1', 'name': 'Sofar (Italy)', 'country_name': 'Italy'}]",Application,,WO-2015162570-A1,"['BIFFI, Andrea']",2015-10-29,1.0,TOPICAL COMPOSITION FOR USE IN THE TREATMENT OF INFLAMMATORY BOWEL DISEASE,2015
693,"['Universita degli Studi di Roma La Sapienza', 'Università degli Studi di Roma “La Sapienza”', 'UNIV DEGLI STUDI DI ROMA “LA SAPIENZA”']","[{'id': 'grid.7841.a', 'name': 'Sapienza University of Rome', 'country_name': 'Italy'}]",Grant,2017.0,US-9717170-B2,"['Maria Sabrina Sarto', 'Giovanni DE BELLIS', 'Alessio Tamburrano', ""Alessandro Giuseppe D'ALOIA""]",2017-07-25,,Graphene nanoplatelets- or graphite nanoplatelets-based nanocomposites for reducing electromagnetic interferences,2013
694,"['Arctic Robotics Oy', 'ARCTIC ROBOTICS OY']",,Application,,EP-3312560-A1,"['Oksanen, Niko', 'Isoaho, Pauli', 'Smital, Petr', 'Mai Vinh, Nguyen', 'Vassilyev, Artem', 'AHMAD, BILAL']",2018-04-25,,METHOD AND SYSTEM FOR INDOOR NAVIGATION,2016
695,"['Administrators of the Tulane Educational Fund', 'REIMERS ROBERT S', 'ENGLANDE JR ANDREW J', 'MURRAY NORMAN K', 'XU YUE', 'UNIV TULANE']","[{'id': 'grid.265219.b', 'name': 'Tulane University', 'country_name': 'United States'}]",Grant,2015.0,US-9199885-B2,"['Robert S. Reimers', 'Andrew J. ENGLANDE, JR.', 'Norman K. Murray', 'Yue Xu']",2015-12-01,,Utilization of iron salts to stabilize and/or disinfect biosolids,2014
