Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country
950876,Towards a vaccine against hepatitis e,96548,1995,1997,National Health and Medical Research Council,Australia
880246,A modern vaccine against leptospirosis,158968,1988,1990,National Health and Medical Research Council,Australia
900820,Development of an improved pneumococcal vaccine,148678,1990,1992,National Health and Medical Research Council,Australia
971030,Additional vaccine antigens for chlamydia,109364,1997,1999,National Health and Medical Research Council,Australia
OPP3431,To support the Vaccine Leadership Conference,40000,2000,2001,Bill & Melinda Gates Foundation,United States
X46120----570027,風診生ワクチンに関する研究,5523,1971,1971,Japan Society for the Promotion of Science,Japan
X45120-----70027,風疹生ワクチンに関する研究,5523,1970,1970,Japan Society for the Promotion of Science,Japan
X44120----371029,流行性耳下腺炎生ワクチンに関する研究,6907,1969,1969,Japan Society for the Promotion of Science,Japan
X41120-----71094,インフルエンザ生ワクチンに関する研究,6907,1966,1966,Japan Society for the Promotion of Science,Japan
X00120----187045,インフルエンザ生ワクチンに関する研究,8978,1976,1976,Japan Society for the Promotion of Science,Japan
X00120----287054,インフルエンザ生ワクチンに関する研究,11050,1977,1977,Japan Society for the Promotion of Science,Japan
61771809,合成マラリアワクチンの開発研究,6907,1986,1986,Japan Society for the Promotion of Science,Japan
E 50,Biochemical characterization of a vaccine,0,2000,2002,FWF Austrian Science Fund,Austria
56770791,単純ヘルペスウイルスワクチンの研究,6559,1981,1981,Japan Society for the Promotion of Science,Japan
56870047,パラインフルエンザウイルスワクチンの開発,12430,1981,1981,Japan Society for the Promotion of Science,Japan
16922177,新規腫瘍ワクチンの作製,6934,2004,2004,Japan Society for the Promotion of Science,Japan
583834,Anti-Vaccine Blog Annotation Project,3518,2015,2016,Natural Sciences and Engineering Research Council,Canada
hrc_aae0a049,Vaccine-based immunotherapy of cancer,3578777,2010,2015,Health Research Council of New Zealand,New Zealand
N01AI95367-0-0-0,HIV VACCINE PRODUCTION,126906,1999,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI60019-4-0-1,Therapeutics/Vaccine Teams,5519281,2008,2008,National Institute of Allergy and Infectious Diseases,United States
N01AI50040-5-0-1,Tularemia Vaccine Development,0,2005,2010,National Institute of Allergy and Infectious Diseases,United States
Y2080775,幽门螺杆菌磷酸钙纳米疫苗的研究,0,2008,2013,Science and Technology Department of Zhejiang Province,China
DRT-S98-93,Anti-tick Vaccines,50929,1999,2001,UC Discovery Grants (formerly IUCRP),United States
189030,SEVAPLANT - Secure Vaccine Production in Plants,8860,2008,2008,The Research Council of Norway,Norway
561325,Development of Novel Vaccines through Glycoengineering,4071,2014,2015,Natural Sciences and Engineering Research Council,Canada
BIO4980503,Mucosal vaccines against autoimmune disease,0,1998,2000,European Commission,Belgium
TS1*0347,DEVELOPMENT OF MALARIA VACCINE,0,1985,1987,European Commission,Belgium
TS2*0103,VACCINES AGAINST TROPICAL THEILERIOSIS,0,1989,1993,European Commission,Belgium
540031,Creation of an anti-diarrhea vaccine,4364,2013,2014,Natural Sciences and Engineering Research Council,Canada
8026742,Fish Biologics Symposium: Serodiagnostics and Vaccines,6536,1981,1981,Directorate for Engineering,United States
217170,Oral delievery of vaccines to salmonids,19106,2002,2003,Natural Sciences and Engineering Research Council,Canada
304464,Tumor associated carbohydrates and vaccine design,96926,2003,2006,Natural Sciences and Engineering Research Council,Canada
10244,Vaccines for bovine respiratory disease,10998,1996,1997,Natural Sciences and Engineering Research Council,Canada
42673,Vaccines for bovine respiratory disease,21960,1994,1995,Natural Sciences and Engineering Research Council,Canada
153531,Développement_d'un vaccin contre Streptococcus suis,64288,1999,2000,Natural Sciences and Engineering Research Council,Canada
134249,Development of subunit Streptococcus suis vaccines,45902,1997,1999,Natural Sciences and Engineering Research Council,Canada
29549,Development of subunit Streptococcus suis vaccines,23952,1995,1996,Natural Sciences and Engineering Research Council,Canada
137414,Développement_dun vaccin contre Streptococcus suis,66739,1998,1999,Natural Sciences and Engineering Research Council,Canada
454883,Carbohydrate-based anti cancer vaccines,193054,2006,2011,Natural Sciences and Engineering Research Council,Canada
511553,Vaccines comprising heat-sensitive transgenes,4998,2012,2013,Natural Sciences and Engineering Research Council,Canada
309395,A vaccine to inhibit tick feeding,79436,2004,2006,Natural Sciences and Engineering Research Council,Canada
175434,Porcine cicovirus pathogenesis and vaccine development,105178,1998,2001,Natural Sciences and Engineering Research Council,Canada
408200,DNA vaccine for avian influenza,4216,2008,2009,Natural Sciences and Engineering Research Council,Canada
240059,Oral delivery of vaccines and immunomodulators,72085,2000,2004,Natural Sciences and Engineering Research Council,Canada
421077,Bioinformatics and intelligent vaccine design,102599,2005,2010,Natural Sciences and Engineering Research Council,Canada
192792,Tumor Associated Carbohydrates and Vaccine design,52765,2000,2002,Natural Sciences and Engineering Research Council,Canada
410332,Developing plant based vaccines from forages,4216,2008,2009,Natural Sciences and Engineering Research Council,Canada
294165,Bovine adenovirus-3 vectored vaccines,580948,2003,2006,Natural Sciences and Engineering Research Council,Canada
372295,Possible peptide vaccine candidtates for leishmania,16102,2007,2008,Natural Sciences and Engineering Research Council,Canada
404453,Recombinant vaccine development for tenacibaculum maritimum,4216,2008,2009,Natural Sciences and Engineering Research Council,Canada
255717,Oral delievery of vaccines to salmonids,1634,2003,2004,Natural Sciences and Engineering Research Council,Canada
U13FD003568,Annual Conference on Vaccine Research,15000,2008,2013,United States Food and Drug Administration,United States
U01IP000019,Varicella and Viral Vaccine Preventable Disease,752462,2004,2011,Centers for Disease Control and Prevention,United States
U01AI056438,Alphavirus Replicon Vaccines to Encephalitis Viruses,7497149,2003,2009,National Institute of Allergy and Infectious Diseases,United States
U01AI037546,MALARIA VACCINE RESEARCH AND DEVELOPMENT PROJECT,0,1994,1996,National Institute of Allergy and Infectious Diseases,United States
U01AI030238,STRATEGIES FOR HIV VACCINE DEVELOPMENT,0,1990,1996,National Institute of Allergy and Infectious Diseases,United States
U01AI024762,LIPOSOME MICROENCAPSULATION OF VACCINE ANTIGENS,0,1987,1990,National Institute of Allergy and Infectious Diseases,United States
R56AI064745,MULTIVALENT VACCINE FOR LYMPHATIC FILARIASIS,310000,2006,2007,National Institute of Allergy and Infectious Diseases,United States
R56AI052012,An Envelope Containing HIV Pseudovirion Vaccine,247200,2002,2008,National Institute of Allergy and Infectious Diseases,United States
R55DC004583,MICROBIAL POPULATION STRATEGY FOR VACCINE DEVELOPMENT,100000,2001,2003,National Institute on Deafness and Other Communication Disorders,United States
R43CA069969,THERAPEUTIC TUMOR VACCINE AGAINST MUC-1,0,1996,1996,National Cancer Institute,United States
R43CA069967,SYNTHESIS OF RNA CANCER VACCINES,0,1996,1997,National Cancer Institute,United States
R43CA068957,DEVELOPMENT OF SYNTHETIC CANCER VACCINES,0,1996,1997,National Cancer Institute,United States
R43AI039909,NOVEL VACCINE FOR HELICOBACTER PYLORI,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI039894,HIV-1 VACCINE FOR DEVELOPING COUNTRIES,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI039346,DEVELOPMENT OF CAMPYLOBACTER FLAGELLIN SUBUNIT VACCINE,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI039324,DEVELOPMENT OF A NOVEL VACCINE STRATEGY,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI037354,SUSTAINED RELEASE FOR VACCINES AND ADJUVANTS,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI037352,BIODEGRADABLE MINERAL MICROSPHERE ADJUVANTS FOR VACCINES,0,1996,1998,National Institute of Allergy and Infectious Diseases,United States
R43AI024371,SYNTHETIC VACCINES UTILIZING BACULOVIRUS POLYHEDRA,0,1987,1987,National Institute of Allergy and Infectious Diseases,United States
R41AI040449,DEVELOPMENT OF ROTAVIRUS DNA VACCINES,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R41AI038606,BIVALENT CONJUGATED RSV PNEUMOCOCCUS VACCINE,0,1995,1997,National Institute of Allergy and Infectious Diseases,United States
R41AI036585,AVIRULENT SALMONELLA HOST-VECTOR VACCINE SYSTEMS,0,1994,1996,National Institute of Allergy and Infectious Diseases,United States
R29AI032463,SALMONELLA/HUMAN IMMUNODEFICIENCY VIRUS VACCINE VECTOR,0,1992,1997,National Institute of Allergy and Infectious Diseases,United States
R21DK057122,A VACCINE FOR IMMUNE MEDIATED DIABETES,160465,1999,2002,National Institute of Diabetes and Digestive and Kidney Diseases,United States
R21CA082869,CHIMERIC HER-2 PEPTIDE VACCINE,130785,1999,2002,National Cancer Institute,United States
R21AI046259,CYTOMEGALOVIRUS VECTORS FOR HIV VACCINE DEVELOPMENT,239250,1999,2002,National Institute of Allergy and Infectious Diseases,United States
R03DE011313,A RECOMBINANT PORPHYROMONAS GINGIVALIS VACCINE,0,1995,1997,National Institute of Dental and Craniofacial Research,United States
R03AI031994,INDO-US VACCINE ACTION PROGRAM,0,1991,1993,National Institute of Allergy and Infectious Diseases,United States
R03AI030994,INDO-US VACCINE ACTION PROGRAM,0,1990,1994,National Institute of Allergy and Infectious Diseases,United States
R03AI030346,INDO-US VACCINE ACTION PROGRAM,0,1990,1993,National Institute of Allergy and Infectious Diseases,United States
R03AI030345,INDO-US VACCINE ACTION PROGRAM,0,1990,1993,National Institute of Allergy and Infectious Diseases,United States
R03AI030344,INDO-US VACCINE ACTION PROGRAM,0,1990,1993,National Institute of Allergy and Infectious Diseases,United States
R01DE006153,CHILDHOOD VACCINES AND DENTAL CARIES IMMUNITY,0,1982,2003,National Institute of Dental and Craniofacial Research,United States
R01CA085868,ENHANCING TUMOR VACCINE IMMUNOGENICITY BY ANTIGAL,409875,1999,2002,National Cancer Institute,United States
R01CA058484,IMMUNOLOGICAL EFFECTS OF MELANOMA VACCINE THERAPY,0,1993,1997,National Cancer Institute,United States
R01CA057820,BREAST TUMOR SPECIFIC IMMUNITY--VACCINE DESIGN,0,1992,1998,National Cancer Institute,United States
R01CA057778,ANTITUMOR ARTIFICIAL RECEPTORS AS CANCER VACCINES,0,1992,1997,National Cancer Institute,United States
R01AI046164,IMMUNOLOGICALLY FOCUSED APPROACH TO AIDS VACCINE,858983,1999,2004,National Institute of Allergy and Infectious Diseases,United States
R01AI037256,VACCINE INTERVENTION FOR LYME BORRELIOSIS,1709592,1994,2004,National Institute of Allergy and Infectious Diseases,United States
R01AI035027,SECOND-GENERATION VACCINES AGAINST LYME DISEASE,0,1993,1998,National Institute of Allergy and Infectious Diseases,United States
R01AI033544,MICROSPHERES TO ENHANCE VACCINE IMMUNOGENICITY,0,1992,1998,National Institute of Allergy and Infectious Diseases,United States
R01AI031064,RATIONALE FOR SPOROZOITE MALARIA VACCINE DEVELOPMENT,0,1992,1997,National Institute of Allergy and Infectious Diseases,United States
R01AI023269,NONLIVING VACCINE AGAINST S MANSONI,0,1986,1991,National Institute of Allergy and Infectious Diseases,United States
N43CM057766,MONOCLONAL ANTIBODY ANTI-IDIOTYPE TUMOR VACCINES,0,1985,1985,National Cancer Institute,United States
N43AI095018,ADENOVIRUS RECOMBINANTS FOR VACCINE EFFICACY,0,1989,1989,National Institute of Allergy and Infectious Diseases,United States
N43AI052603,DEVELOP LIVE ATTENUATED CYTOMEGALOVIRUS VACCINES,0,1985,1985,National Institute of Allergy and Infectious Diseases,United States
N01DE012430,INVESTIGATION OF ANTICARIES VACCINE IN PRIMATES,0,1981,1986,National Institute of Dental and Craniofacial Research,United States
N01CP050529,MODELS FOR AIDS VACCINE RESEARCH,0,1994,1998,National Cancer Institute,United States
N01BC050529,MODELS FOR AIDS VACCINE RESEARCH,0,1994,1998,National Cancer Institute,United States
N01AO082722,OPERATE EXPERIMENTAL VIRUS VACCINE LABORATORY,740515,1997,2002,National Institute of Allergy and Infectious Diseases,United States
N01AO052710,MFG OF YEAST-PRODUCED MALARIA VACCINES,0,1995,1999,National Institute of Allergy and Infectious Diseases,United States
N01AO015095,"INFECTIOUS AGENTS, VACCINES &ANTIMICROBIALS IN HUMANS",0,1990,1996,National Institute of Allergy and Infectious Diseases,United States
N01AI082681,EXPERIMENTAL VIRUS VACCINE PRODUCTION LABORATORY,0,1987,1992,National Institute of Allergy and Infectious Diseases,United States
N01AI052593,EFFICACY TRIAL OF COLD-ADAPTED VACCINES,0,1985,1991,National Institute of Allergy and Infectious Diseases,United States
N01AI052577,TESTING VACCINES IN ADOLESCENTS AND ADULTS,0,1985,1990,National Institute of Allergy and Infectious Diseases,United States
N01AI045204,HIV VACCINE TRIALS AND EPIDEMIOLOGY REPOSITORY,229246,1994,1999,National Institute of Allergy and Infectious Diseases,United States
N01AI042534,DEVELOP A VACCINE FOR GONORRHEA,0,1983,1985,National Institute of Allergy and Infectious Diseases,United States
N01AI032518,DEVELOP AN ACELLULAR BORDETELLA PERTUSSIS VACCINE,0,1983,1986,National Institute of Allergy and Infectious Diseases,United States
N01AI025137,INVESTIGATIONAL NEW DRUGS AND VACCINES,0,1992,1995,National Institute of Allergy and Infectious Diseases,United States
N01AI015130,ADVERSE REACTIONS OF CHILDHOOD VACCINES,0,1991,1994,National Institute of Allergy and Infectious Diseases,United States
N01AI005421,MALARIA VACCINE PRODUCTION &SUPPORT SERVICES,6077974,2000,2007,National Institute of Allergy and Infectious Diseases,United States
N01AI002639,CLINICAL EVALUATION OF LIVE HERPESVIRUS VACCINE,0,1979,1985,National Institute of Allergy and Infectious Diseases,United States
K04AI001087,ACELLULAR VACCINES AGAINST BACTERIAL PATHOGENS,0,1992,1997,National Institute of Allergy and Infectious Diseases,United States
H23IP922549,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,12176449,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922545,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,28595532,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922535,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,4359668,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922533,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,3559620,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922518,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,12787854,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922507,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,132483632,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922505,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,4848248,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922504,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,2354105,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922503,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,1027633,2003,2012,Centers for Disease Control and Prevention,United States
H23IP922502,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,3370321,2003,2012,Centers for Disease Control and Prevention,United States
H23IP822564,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,22485676,2003,2012,Centers for Disease Control and Prevention,United States
H23IP822560,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,5545506,2003,2012,Centers for Disease Control and Prevention,United States
H23IP822552,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,6238876,2003,2012,Centers for Disease Control and Prevention,United States
H23IP822546,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,4581647,2003,2012,Centers for Disease Control and Prevention,United States
H23IP822520,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,13332202,2003,2012,Centers for Disease Control and Prevention,United States
H23IP822510,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,5265499,2003,2012,Centers for Disease Control and Prevention,United States
H23IP722562,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,9078858,2003,2012,Centers for Disease Control and Prevention,United States
H23IP722543,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,19171620,2003,2012,Centers for Disease Control and Prevention,United States
H23IP722542,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,13750234,2003,2012,Centers for Disease Control and Prevention,United States
H23IP722509,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,12782071,2003,2012,Centers for Disease Control and Prevention,United States
H23IP622571,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,84654136,2003,2012,Centers for Disease Control and Prevention,United States
H23IP622566,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,9773650,2003,2012,Centers for Disease Control and Prevention,United States
H23IP622541,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,18633488,2003,2012,Centers for Disease Control and Prevention,United States
H23IP622532,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,11954660,2003,2012,Centers for Disease Control and Prevention,United States
H23IP622523,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,13452676,2003,2012,Centers for Disease Control and Prevention,United States
H23IP622512,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,9133450,2003,2012,Centers for Disease Control and Prevention,United States
H23IP522568,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,27272696,2003,2012,Centers for Disease Control and Prevention,United States
H23IP522565,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,19894560,2003,2012,Centers for Disease Control and Prevention,United States
H23IP522563,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,20886180,2003,2012,Centers for Disease Control and Prevention,United States
H23IP522556,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,36897780,2003,2012,Centers for Disease Control and Prevention,United States
H23IP522551,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,23057106,2003,2012,Centers for Disease Control and Prevention,United States
H23IP522537,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,30695332,2003,2012,Centers for Disease Control and Prevention,United States
H23IP522522,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,14725251,2003,2012,Centers for Disease Control and Prevention,United States
H23IP422554,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,32415946,2003,2012,Centers for Disease Control and Prevention,United States
H23IP422544,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,20465260,2003,2012,Centers for Disease Control and Prevention,United States
H23IP422536,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,18486918,2003,2012,Centers for Disease Control and Prevention,United States
H23IP422528,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,16958976,2003,2012,Centers for Disease Control and Prevention,United States
H23IP422527,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,14506256,2003,2012,Centers for Disease Control and Prevention,United States
H23IP422524,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,13074784,2003,2012,Centers for Disease Control and Prevention,United States
H23IP422521,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,35935876,2003,2012,Centers for Disease Control and Prevention,United States
H23IP422511,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,58067576,2003,2012,Centers for Disease Control and Prevention,United States
H23IP322572,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,7377398,2003,2012,Centers for Disease Control and Prevention,United States
H23IP322570,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,19605318,2003,2012,Centers for Disease Control and Prevention,United States
H23IP322567,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,6612114,2003,2012,Centers for Disease Control and Prevention,United States
H23IP322561,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,6472027,2003,2012,Centers for Disease Control and Prevention,United States
H23IP322559,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,36378536,2003,2012,Centers for Disease Control and Prevention,United States
H23IP322538,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,11256214,2003,2012,Centers for Disease Control and Prevention,United States
H23IP322519,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,22522020,2003,2012,Centers for Disease Control and Prevention,United States
H23IP222576,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,25629016,2003,2012,Centers for Disease Control and Prevention,United States
H23IP222575,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,51502832,2003,2012,Centers for Disease Control and Prevention,United States
H23IP222539,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,39530888,2003,2012,Centers for Disease Control and Prevention,United States
H23IP222534,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,5346605,2003,2012,Centers for Disease Control and Prevention,United States
H23IP222501,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,13795530,2003,2012,Centers for Disease Control and Prevention,United States
H23IP122558,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,11807857,2003,2012,Centers for Disease Control and Prevention,United States
H23IP122555,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,7599557,2003,2012,Centers for Disease Control and Prevention,United States
H23IP122540,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,24289670,2003,2012,Centers for Disease Control and Prevention,United States
H23IP122530,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,7587053,2003,2012,Centers for Disease Control and Prevention,United States
H23IP122529,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,6787449,2003,2012,Centers for Disease Control and Prevention,United States
H23IP122525,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,16585636,2003,2012,Centers for Disease Control and Prevention,United States
H23IP022569,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,7824550,2003,2012,Centers for Disease Control and Prevention,United States
H23IP022550,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,18607916,2003,2012,Centers for Disease Control and Prevention,United States
H23IP022548,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,31860150,2003,2012,Centers for Disease Control and Prevention,United States
H23IP022531,IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,9059135,2003,2012,Centers for Disease Control and Prevention,United States
H23IP000790,MISSISSIPPI IMMUNIZATION AND VACCINE GRANT,10058390,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000778,Immunization and Vaccines for Children Program,14692051,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000775,IMMUNIZATION AND VACCINES FOR CHILDREN GRANT,5550667,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000755,IMMUNIZATION AND VACCINES FOR CHILDREN PROGRAM,4430576,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000751,IMMUNIZATIONS AND VACCINE FOR CHILDREN,19247618,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000748,IMMUNIZATIONS AND VACCINES FOR CHILDREN GRANTS,10479382,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000741,Immunization and Vaccines for Children Program,41633856,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000737,MINNESOTA STATEWIDE IMMUNIZATION & VACCINES PROGRAM,15583782,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000733,ARIZONA IMMUNIZATION AND VACCINE FOR CHILDREN,21286744,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000732,IMMUNIZATION AND VACCINES FOR CHILDREN,14626625,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000730,IMMUNIZATION AND VACCINES FOR CHILDREN GRANT,8323787,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000728,NEW JERSEY VACCINE PREVENTABLE DISEASE PROGRAM,22845980,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000727,NEVADA IMMUNIZATION AND VACCINES FOR CHILDREN,9981773,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000723,IMMUNIZATIONS AND VACCINES FOR CHILDREN,16824272,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000719,IMMUNIZATION AND VACCINES FOR CHILDREN PROGRAM,14710428,2013,2017,Centers for Disease Control and Prevention,United States
F32DK008072,EVALUATION OF GENETICALLY ENGINEERED ROTAVIRUS VACCINES,0,1987,1988,National Institute of Diabetes and Digestive and Kidney Diseases,United States
F32AI008222,GROUP B STREPTOCOCCAL OLIGOSACCHARIDE-CONJUGATE VACCINE,0,1991,1991,National Institute of Allergy and Infectious Diseases,United States
F05TW005055,NOVEL APPROACH TOWARD RETROVIRAL VACCINE DESIGN,0,1994,1995,Fogarty International Center,United States
N/A,"Develop low-cost prophylactic vaccines against HCV, and therapeutic vaccines against HBV",9100510,2010,2017,Canadian Institutes of Health Research,Canada
2013-01797,Development of diagnostic tools and vaccines,447887,2013,2015,Swedish Research Council for Environment Agricultural Sciences and Spatial Planning,Sweden
13025B10,Potenzierung von Impfstoffen durch gezieltes Design der Glykosylierung - IPoGly (Impfstoffpotenzierung durch Glykosylierung),377233,2010,2014,Federal Ministry of Education and Research,Germany
01KA1301,"EDCTP: Malaria Vakzine, vorbereitende Arbeiten zur Entwicklung zweier Malaria Impfstoffe",93832,2013,2014,Federal Ministry of Education and Research,Germany
01GU0708,Verbundprojekt: Innovative bakterielle Tumorimpfstoffe - Teilprojekt 1: Bakterielles Prostatakrebsvakzin,766222,2008,2011,Federal Ministry of Education and Research,Germany
SERB_45c964ebaf,Development of Porphyric Intracellular Leishmania Parasite for the Effect vaccine and Vaccine Delivery System,36686,2016,2017,Science and Engineering Research Board,India
2015R1D1A4A01020761,DNA 백신 및 백신보조제 전달을 위한 효율적이고 스마트한 마이크니들시스템 개발,0,2015,2016,National Research Foundation of Korea,South Korea
2015M3A9B5030116,인유두종바이러스 백신 제품화 및 차세대 인유두종바이러스 백신 개발,0,2015,2016,National Research Foundation of Korea,South Korea
2015M3A9B5030142,인유두종바이러스 4가 백신의 제품화 및 인유두종바이러스 10가 백신 개발,0,2015,2016,National Research Foundation of Korea,South Korea
2014R1A6A3A01055315,저온적응 약독 생백신형 만능독감백신 개발 연구,0,2014,2015,National Research Foundation of Korea,South Korea
AF/138/96,Vaccine Biotechnology: Genetically Engineered Chimeric Protein Vaccine Against Foot-and-Mouth Disease,454005,1996,2000,Innovation and Technology Commission,China
2010-00481,Therapeutic cancer vaccine for test in human,526155,2010,2014,VINNOVA,Sweden
156524,The Vaccine Project,15896,2016,2017,Social Sciences and Humanities Research Council,Canada
605578,Ingénierie d'un plateforme vaccinale et développement d'un vaccin vétérinaire contre la gripp,3391,2016,2017,Natural Sciences and Engineering Research Council,Canada
630754,Hepatitis C vaccine preparedness: feasibility of field-based vaccine trials,56978,2010,2012,National Health and Medical Research Council,Australia
272201600035C-0-0-1,A MUCOSAL PROPHYLACTIC VACCINE AGAINST COCCIDIOIDOMYCOSIS,449984,2016,2018,National Institute of Allergy and Infectious Diseases,United States
97F00421,魚類寄生虫に対する遺伝子組換えワクチンおよびDNAワクチンの開発,18068,1998,1999,Japan Society for the Promotion of Science,Japan
16380123,魚類ウイルスを用いたDNAワクチンに代わる新たなRNAワクチンの開発,36058,2004,2004,Japan Society for the Promotion of Science,Japan
11771116,組み換えBCGワクチンシステムを用いた、う蝕予防ワクチンの開発,9665,1999,1999,Japan Society for the Promotion of Science,Japan
00J01507,新規粘膜ワクチンキャリアーの開発およびエイズワクチンへの応用,17502,2000,2001,Japan Society for the Promotion of Science,Japan
N01AI60018-0-0-1,HIV Vaccine Design and Dev. Teams Part A - Preventative Vaccines,3352012,2006,2011,National Institute of Allergy and Infectious Diseases,United States
N01AI60018-0-0-0,HIV VACCINE DESIGN AND DEVELOPMENT TEAMS PART A - PREVENTATIVE VACCINES,3352012,2006,2011,National Institute of Allergy and Infectious Diseases,United States
N01AI50010-0-0-0,"HIV VACCINE DESIGN AND DEVELOPMENT TEAMS, PART B-THERAPEUTIC VACCINES",5042594,2005,2010,National Institute of Allergy and Infectious Diseases,United States
N01AI50009-4-0-0,HIV VACCINES DESIGN &DEVELOPMENT TEAMS-PART B-THERAPEUTIC VACCINE,3418543,2005,2010,National Institute of Allergy and Infectious Diseases,United States
